State,District,Crop_Year,Annual_Rainfall_mm,Monsoon_Rainfall_mm,Deviation_From_Normal_%
Maharashtra,Pune,2022.0,1141.7,855.0,-11.42
Punjab,Amritsar,2022.0,1161.2,651.5,23.46
Karnataka,Mandya,2016.0,752.0,558.4,-12.2
Punjab,Ludhiana,2023.0,724.5,516.2,-18.39
Maharashtra,Aurangabad,2018.0,843.4,624.1,-11.64
Karnataka,Raichur,2019.0,749.9,522.3,10.48
Karnataka,Belgaum,2021.0,1159.6,855.7,8.66
Telangana,Warangal,2020.0,982.9,731.6,-24.84
Punjab,Ludhiana,2020.0,1166.4,823.6,9.29
Telangana,Adilabad,2022.0,591.5,399.3,9.78
Telangana,Adilabad,2021.0,900.2,616.1,19.04
Maharashtra,Nagpur,2023.0,906.7,548.1,21.92
Telangana,Nizamabad,2021.0,1071.8,594.4,-4.51
Maharashtra,Aurangabad,2023.0,521.8,353.4,13.89
Maharashtra,Aurangabad,2019.0,684.9,400.3,20.22
Tamil Nadu,Coimbatore,2018.0,984.4,550.5,23.03
Tamil Nadu,Coimbatore,2016.0,802.6,477.4,-0.21
Maharashtra,Aurangabad,2023.0,679.2,411.3,-19.69
Punjab,Patiala,2016.0,910.5,571.7,22.24
Maharashtra,Aurangabad,2020.0,515.2,369.5,-1.46
Telangana,Adilabad,2017.0,741.0,422.2,5.32
Punjab,Amritsar,2022.0,871.1,562.8,0.48
Telangana,Warangal,2022.0,968.9,537.0,-21.83
Telangana,Nizamabad,2019.0,1077.4,717.4,-17.93
Maharashtra,Pune,2018.0,624.5,466.8,3.71
Karnataka,Mandya,2019.0,936.5,533.4,-24.81
Karnataka,Belgaum,2020.0,1135.3,763.6,-19.1
Karnataka,Mandya,2019.0,794.4,478.7,-12.64
Andhra Pradesh,Prakasam,2017.0,887.3,664.3,20.28
Punjab,Amritsar,2020.0,913.1,519.7,-20.89
Telangana,Warangal,2018.0,1078.5,714.6,20.3
Andhra Pradesh,Krishna,2021.0,1188.7,815.4,7.32
Punjab,Ludhiana,2018.0,901.8,663.2,16.35
Tamil Nadu,Madurai,2018.0,1004.7,624.4,18.09
Karnataka,Belgaum,2017.0,870.9,531.2,-12.88
Karnataka,Belgaum,2018.0,714.5,471.6,13.9
Andhra Pradesh,Prakasam,2018.0,506.8,378.2,-16.03
Maharashtra,Pune,2017.0,978.6,553.8,-2.3
Telangana,Warangal,2021.0,610.9,341.7,17.07
Punjab,Ludhiana,2017.0,797.2,536.9,-17.72
Karnataka,Raichur,2019.0,972.9,671.9,-12.7
Maharashtra,Nagpur,2021.0,1167.9,810.2,13.11
Maharashtra,Aurangabad,2018.0,1013.7,735.9,1.32
Punjab,Patiala,2016.0,1060.9,764.9,23.38
Maharashtra,Nagpur,2023.0,841.3,506.0,14.42
Maharashtra,Aurangabad,2016.0,536.4,297.0,-6.03
Telangana,Nizamabad,2021.0,1106.3,820.3,-5.96
Telangana,Nizamabad,2019.0,570.2,349.7,-13.98
Karnataka,Raichur,2015.0,598.5,363.4,-11.81
Karnataka,Mandya,2022.0,1064.0,705.8,-18.27
Punjab,Ludhiana,2018.0,819.5,612.7,-16.0
Punjab,Amritsar,2023.0,1146.2,697.1,-5.22
Punjab,Amritsar,2015.0,555.3,328.7,-14.55
Andhra Pradesh,Prakasam,2016.0,521.2,298.5,-8.84
Punjab,Amritsar,2021.0,810.0,482.0,18.76
Telangana,Adilabad,2015.0,986.1,685.1,10.79
Karnataka,Raichur,2022.0,692.7,407.4,20.26
Maharashtra,Pune,2021.0,1166.1,828.4,24.95
Andhra Pradesh,Guntur,2016.0,994.0,685.9,24.88
Maharashtra,Nagpur,2022.0,649.2,465.3,-0.95
Karnataka,Raichur,2015.0,558.4,406.0,-24.72
Karnataka,Belgaum,2017.0,789.6,446.4,14.94
Tamil Nadu,Madurai,2017.0,1143.5,665.4,11.3
Punjab,Ludhiana,2015.0,791.1,468.1,-5.94
Punjab,Patiala,2021.0,1148.6,643.9,20.78
Punjab,Ludhiana,2019.0,674.7,444.3,-22.93
Punjab,Amritsar,2016.0,544.9,360.4,17.67
Andhra Pradesh,Krishna,2020.0,536.8,391.2,12.32
Andhra Pradesh,Prakasam,2016.0,900.5,554.3,23.35
Karnataka,Belgaum,2015.0,1081.4,627.5,-4.69
Telangana,Nizamabad,2019.0,1057.7,789.3,-0.28
Maharashtra,Aurangabad,2021.0,792.0,569.8,-12.17
Tamil Nadu,Coimbatore,2021.0,604.8,389.8,-24.59
Punjab,Ludhiana,2017.0,716.7,518.2,12.86
Maharashtra,Aurangabad,2019.0,964.0,663.7,-4.25
Andhra Pradesh,Prakasam,2022.0,736.3,442.9,-19.71
Tamil Nadu,Thanjavur,2022.0,1044.0,597.0,-19.21
Tamil Nadu,Madurai,2016.0,767.9,479.0,2.82
Andhra Pradesh,Prakasam,2022.0,969.8,700.7,-7.29
Maharashtra,Nagpur,2023.0,619.3,401.5,2.42
Punjab,Ludhiana,2019.0,689.6,419.2,20.12
Punjab,Patiala,2017.0,936.9,688.5,13.29
Karnataka,Belgaum,2022.0,1053.7,583.5,1.94
Karnataka,Belgaum,2015.0,545.4,389.3,-13.63
Karnataka,Raichur,2021.0,1185.6,861.2,-4.46
Punjab,Patiala,2022.0,530.1,306.7,-21.86
Karnataka,Raichur,2023.0,581.5,337.3,20.33
Andhra Pradesh,Krishna,2021.0,961.6,544.0,7.67
Andhra Pradesh,Krishna,2023.0,554.5,334.3,-3.7
Tamil Nadu,Coimbatore,2017.0,970.2,577.4,12.41
Maharashtra,Pune,2021.0,1016.0,697.6,-9.36
Andhra Pradesh,Krishna,2016.0,725.7,403.4,-0.28
Andhra Pradesh,Guntur,2022.0,743.5,551.9,10.52
Tamil Nadu,Thanjavur,2015.0,1129.4,827.3,2.68
Telangana,Nizamabad,2019.0,1181.7,735.6,-3.16
Tamil Nadu,Madurai,2021.0,1144.7,740.0,-22.71
Maharashtra,Pune,2017.0,981.6,658.5,-17.03
Telangana,Nizamabad,2018.0,709.6,512.9,-12.05
Andhra Pradesh,Prakasam,2017.0,577.5,335.9,22.6
Karnataka,Belgaum,2022.0,874.3,515.2,22.69
Maharashtra,Pune,2015.0,1126.7,772.4,-19.89
Karnataka,Mandya,2020.0,915.1,651.3,15.41
Karnataka,Belgaum,2021.0,913.6,657.3,24.45
Tamil Nadu,Thanjavur,2016.0,623.5,439.5,-7.89
Maharashtra,Nagpur,2015.0,872.5,552.3,12.15
Tamil Nadu,Madurai,2015.0,604.1,391.6,7.91
Andhra Pradesh,Krishna,2017.0,1002.4,698.7,-5.09
Telangana,Adilabad,2015.0,658.5,411.1,-8.15
Punjab,Patiala,2016.0,722.6,454.0,19.95
Andhra Pradesh,Krishna,2021.0,606.2,402.8,18.8
Punjab,Patiala,2021.0,1146.6,801.8,-5.71
Andhra Pradesh,Guntur,2020.0,670.4,484.3,0.67
Telangana,Warangal,2015.0,933.2,546.4,18.65
Punjab,Ludhiana,2023.0,1195.9,876.3,-5.64
Punjab,Ludhiana,2022.0,891.4,656.3,15.97
Karnataka,Raichur,2022.0,1138.0,811.9,1.79
Telangana,Nizamabad,2019.0,1124.4,788.1,24.11
Karnataka,Mandya,2021.0,772.7,508.4,0.76
Telangana,Nizamabad,2018.0,1168.3,819.3,-11.17
Andhra Pradesh,Guntur,2020.0,1085.6,752.2,-24.93
Tamil Nadu,Madurai,2022.0,1121.3,702.8,3.26
Karnataka,Mandya,2022.0,761.1,539.9,-10.77
Maharashtra,Aurangabad,2015.0,944.8,698.6,12.38
Telangana,Warangal,2019.0,828.9,476.9,7.74
Tamil Nadu,Thanjavur,2017.0,1094.1,694.9,-6.58
Telangana,Warangal,2015.0,724.4,489.8,-22.5
Andhra Pradesh,Prakasam,2023.0,1149.3,707.5,-0.45
Punjab,Amritsar,2018.0,1132.0,737.6,-24.99
Punjab,Ludhiana,2022.0,715.2,448.1,0.53
Tamil Nadu,Coimbatore,2015.0,811.1,502.0,-13.82
Andhra Pradesh,Krishna,2017.0,1173.4,730.0,-9.02
Punjab,Ludhiana,2016.0,632.0,367.4,-1.59
Andhra Pradesh,Krishna,2023.0,857.1,586.7,24.01
Punjab,Ludhiana,2020.0,585.5,437.2,6.12
Karnataka,Mandya,2023.0,944.6,536.1,-23.77
Karnataka,Mandya,2019.0,571.3,316.7,10.66
Andhra Pradesh,Krishna,2019.0,942.4,526.2,-11.26
Punjab,Ludhiana,2020.0,799.5,536.3,16.89
Telangana,Warangal,2022.0,785.0,529.9,14.23
Maharashtra,Aurangabad,2019.0,813.7,530.7,16.87
Telangana,Warangal,2017.0,972.1,569.3,-14.82
Andhra Pradesh,Krishna,2015.0,756.9,446.4,15.56
Maharashtra,Nagpur,2017.0,711.2,506.8,-18.85
Maharashtra,Nagpur,2019.0,931.0,537.5,-9.35
Andhra Pradesh,Prakasam,2018.0,1125.5,706.7,-10.64
Telangana,Adilabad,2019.0,645.3,410.1,8.9
Telangana,Warangal,2019.0,1130.8,841.0,9.65
Tamil Nadu,Coimbatore,2020.0,1166.6,770.4,-19.13
Andhra Pradesh,Prakasam,2020.0,1194.6,875.9,-5.93
Telangana,Nizamabad,2016.0,873.9,588.5,3.95
Maharashtra,Nagpur,2018.0,1183.0,830.4,-18.56
Andhra Pradesh,Krishna,2017.0,1067.3,631.9,15.65
Karnataka,Raichur,2023.0,941.9,563.1,8.07
Maharashtra,Nagpur,2017.0,727.1,488.7,10.69
Telangana,Adilabad,2015.0,681.0,377.9,-9.48
Tamil Nadu,Coimbatore,2021.0,800.1,488.6,-22.99
Maharashtra,Aurangabad,2017.0,772.1,538.7,-1.79
Maharashtra,Aurangabad,2023.0,924.2,684.3,-14.87
Tamil Nadu,Thanjavur,2020.0,643.6,482.1,-15.32
Andhra Pradesh,Prakasam,2023.0,1183.3,685.7,-15.5
Andhra Pradesh,Prakasam,2022.0,520.7,349.8,24.66
Tamil Nadu,Thanjavur,2019.0,824.9,462.0,9.37
Punjab,Ludhiana,2023.0,984.7,619.6,-19.78
Tamil Nadu,Madurai,2021.0,1087.6,686.0,1.37
Karnataka,Mandya,2023.0,954.2,537.8,-3.82
Tamil Nadu,Coimbatore,2015.0,509.6,359.3,19.94
Tamil Nadu,Madurai,2023.0,544.3,398.1,-0.68
Andhra Pradesh,Krishna,2017.0,758.6,499.8,-11.69
Punjab,Patiala,2015.0,795.6,561.1,8.88
Tamil Nadu,Thanjavur,2017.0,941.9,537.0,5.56
Maharashtra,Aurangabad,2022.0,505.9,290.7,2.88
Tamil Nadu,Thanjavur,2019.0,891.1,490.9,2.3
Punjab,Patiala,2019.0,680.2,446.3,-2.2
Tamil Nadu,Thanjavur,2019.0,1128.2,741.0,-15.38
Maharashtra,Pune,2023.0,764.0,525.9,20.8
Karnataka,Mandya,2021.0,541.9,308.9,-21.49
Tamil Nadu,Madurai,2015.0,795.6,504.8,11.36
Punjab,Ludhiana,2020.0,1145.3,768.7,3.9
Karnataka,Raichur,2019.0,655.8,363.9,-0.07
Tamil Nadu,Thanjavur,2018.0,811.6,474.5,23.78
Punjab,Patiala,2018.0,807.2,464.4,11.75
Tamil Nadu,Madurai,2022.0,516.2,386.4,-20.99
Punjab,Amritsar,2023.0,1165.3,663.9,6.59
Maharashtra,Nagpur,2016.0,698.6,407.6,23.52
Maharashtra,Aurangabad,2020.0,771.4,445.5,-0.98
Tamil Nadu,Coimbatore,2019.0,672.4,482.1,-0.16
Tamil Nadu,Thanjavur,2022.0,658.2,468.3,-7.41
Tamil Nadu,Coimbatore,2021.0,804.3,447.5,-9.55
Andhra Pradesh,Krishna,2023.0,692.0,507.3,-12.35
Andhra Pradesh,Guntur,2020.0,809.6,492.9,23.53
Telangana,Warangal,2022.0,857.7,526.0,-3.63
Karnataka,Mandya,2020.0,1132.1,773.0,-9.97
Punjab,Amritsar,2023.0,1051.8,663.0,-16.27
Telangana,Nizamabad,2015.0,1195.8,696.4,24.13
Maharashtra,Pune,2019.0,530.6,362.5,-20.06
Punjab,Ludhiana,2018.0,861.7,549.5,21.21
Telangana,Nizamabad,2021.0,969.6,635.2,24.45
Tamil Nadu,Thanjavur,2018.0,1084.0,740.7,5.29
Maharashtra,Nagpur,2017.0,750.7,545.2,-3.84
Tamil Nadu,Madurai,2021.0,630.7,398.9,-3.46
Andhra Pradesh,Guntur,2018.0,752.3,469.9,-11.57
Tamil Nadu,Thanjavur,2023.0,1139.7,672.6,7.59
Andhra Pradesh,Prakasam,2019.0,1082.7,721.0,-4.48
Maharashtra,Nagpur,2020.0,502.8,316.6,-22.39
Andhra Pradesh,Guntur,2021.0,788.8,478.9,-5.48
Andhra Pradesh,Prakasam,2021.0,552.8,370.9,-23.19
Andhra Pradesh,Guntur,2015.0,918.1,583.9,-7.22
Karnataka,Raichur,2020.0,716.2,529.0,21.77
Telangana,Warangal,2015.0,567.3,412.4,18.46
Maharashtra,Nagpur,2022.0,1009.0,728.9,7.54
Telangana,Warangal,2020.0,626.6,434.1,-8.01
Karnataka,Raichur,2023.0,1153.8,740.2,21.53
Telangana,Warangal,2022.0,1041.6,614.2,-19.55
Maharashtra,Pune,2021.0,898.7,513.3,12.47
Andhra Pradesh,Prakasam,2023.0,975.1,615.1,20.38
Andhra Pradesh,Krishna,2016.0,649.4,475.7,-24.95
Telangana,Adilabad,2015.0,1165.3,735.8,-16.19
Maharashtra,Pune,2019.0,671.6,481.1,7.32
Karnataka,Belgaum,2020.0,598.1,380.5,9.29
Punjab,Ludhiana,2020.0,1181.2,716.9,19.44
Karnataka,Belgaum,2016.0,557.2,352.3,-17.15
Punjab,Patiala,2020.0,634.6,455.5,20.16
Tamil Nadu,Madurai,2022.0,740.4,496.0,20.01
Maharashtra,Pune,2017.0,541.5,376.2,8.66
Punjab,Ludhiana,2023.0,1016.4,729.9,-16.77
Telangana,Warangal,2016.0,779.6,575.6,11.43
Andhra Pradesh,Prakasam,2018.0,939.0,703.6,5.15
Maharashtra,Pune,2019.0,706.4,497.9,-13.64
Karnataka,Mandya,2019.0,741.5,475.5,-3.57
Maharashtra,Aurangabad,2019.0,1114.7,625.1,24.86
Maharashtra,Pune,2017.0,683.3,462.8,-5.33
Punjab,Patiala,2022.0,605.2,437.9,11.94
Tamil Nadu,Thanjavur,2019.0,571.9,405.5,-4.5
Karnataka,Raichur,2016.0,515.2,344.8,-2.89
Punjab,Amritsar,2017.0,929.5,541.9,3.5
Andhra Pradesh,Krishna,2019.0,591.8,340.7,-18.67
Punjab,Patiala,2020.0,1172.3,754.9,13.74
Telangana,Adilabad,2023.0,914.5,503.3,7.16
Maharashtra,Aurangabad,2016.0,753.2,542.1,1.44
Punjab,Ludhiana,2019.0,975.0,604.6,-6.05
Andhra Pradesh,Prakasam,2017.0,1195.7,711.0,-14.77
Punjab,Amritsar,2015.0,1001.7,644.6,-23.66
Andhra Pradesh,Krishna,2018.0,549.8,383.1,4.55
Tamil Nadu,Madurai,2019.0,667.1,491.4,1.99
Karnataka,Belgaum,2020.0,933.6,652.1,-14.54
Karnataka,Raichur,2016.0,609.2,355.0,6.86
Andhra Pradesh,Guntur,2021.0,716.0,415.6,23.61
Tamil Nadu,Thanjavur,2020.0,679.2,477.9,23.73
Tamil Nadu,Madurai,2018.0,1037.1,702.3,-2.21
Maharashtra,Nagpur,2020.0,1099.0,702.0,6.09
Karnataka,Raichur,2015.0,946.9,697.4,-5.76
Telangana,Warangal,2022.0,783.3,576.8,10.69
Telangana,Warangal,2021.0,734.3,426.3,22.89
Maharashtra,Aurangabad,2023.0,536.8,374.5,-23.0
Tamil Nadu,Madurai,2018.0,808.7,594.3,-0.06
Karnataka,Belgaum,2017.0,990.3,673.8,6.02
Tamil Nadu,Coimbatore,2018.0,772.2,549.1,15.54
Punjab,Amritsar,2019.0,687.4,497.2,15.32
Tamil Nadu,Madurai,2018.0,1187.3,870.2,-2.38
Karnataka,Raichur,2017.0,869.1,547.5,-17.66
Tamil Nadu,Thanjavur,2016.0,793.6,582.2,-19.77
Tamil Nadu,Madurai,2020.0,616.2,453.3,-2.68
Tamil Nadu,Madurai,2022.0,1170.4,728.3,-8.43
Telangana,Warangal,2018.0,549.5,373.4,3.71
Telangana,Warangal,2018.0,948.8,676.9,-8.53
Maharashtra,Nagpur,2021.0,1024.6,739.6,-6.03
Karnataka,Mandya,2017.0,578.8,320.7,-23.98
Andhra Pradesh,Guntur,2022.0,869.8,531.9,5.54
Tamil Nadu,Coimbatore,2023.0,969.2,679.5,18.89
Andhra Pradesh,Guntur,2020.0,584.4,336.1,-8.72
Tamil Nadu,Madurai,2015.0,1112.2,786.5,-15.34
Tamil Nadu,Madurai,2015.0,731.6,434.0,-0.2
Maharashtra,Aurangabad,2018.0,619.4,409.6,6.68
Karnataka,Mandya,2022.0,700.9,503.6,-5.76
Telangana,Warangal,2021.0,1137.6,779.6,-1.21
Telangana,Warangal,2016.0,1022.8,633.7,8.42
Telangana,Nizamabad,2022.0,593.8,404.5,-2.78
Maharashtra,Aurangabad,2018.0,1013.0,620.1,7.55
Punjab,Patiala,2019.0,1066.4,757.0,4.69
Tamil Nadu,Coimbatore,2019.0,720.9,494.3,23.56
Karnataka,Belgaum,2017.0,943.1,644.9,2.64
Andhra Pradesh,Prakasam,2017.0,1036.8,662.9,8.24
Punjab,Amritsar,2018.0,966.0,611.3,-8.43
Karnataka,Belgaum,2015.0,724.3,414.3,2.08
Punjab,Ludhiana,2016.0,1053.2,776.8,-20.52
Tamil Nadu,Coimbatore,2022.0,591.4,327.5,-7.24
Andhra Pradesh,Krishna,2019.0,1080.1,674.7,-3.52
Andhra Pradesh,Prakasam,2021.0,1064.2,740.3,9.31
Andhra Pradesh,Guntur,2020.0,538.2,325.1,-11.39
Andhra Pradesh,Guntur,2015.0,1191.1,748.5,-6.4
Maharashtra,Pune,2019.0,823.0,521.7,7.12
Maharashtra,Pune,2022.0,1117.7,776.8,4.4
Maharashtra,Pune,2019.0,558.5,313.7,-24.86
Tamil Nadu,Coimbatore,2015.0,1054.6,749.1,-17.41
Telangana,Warangal,2019.0,1123.8,713.9,10.13
Andhra Pradesh,Krishna,2022.0,945.5,683.4,16.89
Maharashtra,Pune,2018.0,1094.8,798.6,-14.01
Andhra Pradesh,Krishna,2018.0,1043.2,756.1,-16.75
Tamil Nadu,Thanjavur,2022.0,996.5,562.1,19.55
Maharashtra,Nagpur,2018.0,543.7,361.6,7.47
Andhra Pradesh,Krishna,2015.0,835.3,602.9,-22.48
Maharashtra,Nagpur,2021.0,922.7,548.1,17.37
Maharashtra,Nagpur,2020.0,903.3,545.4,-19.02
Karnataka,Raichur,2022.0,810.1,515.3,-14.86
Tamil Nadu,Madurai,2019.0,788.7,438.9,21.5
Maharashtra,Aurangabad,2015.0,884.7,534.6,-3.99
Andhra Pradesh,Guntur,2017.0,923.6,679.8,-14.05
Tamil Nadu,Madurai,2022.0,878.7,537.9,-1.55
Tamil Nadu,Madurai,2023.0,1134.4,658.7,13.88
Maharashtra,Pune,2021.0,1190.3,831.0,1.89
Maharashtra,Nagpur,2022.0,1190.6,874.0,-15.63
Karnataka,Mandya,2015.0,1110.9,821.0,3.49
Maharashtra,Nagpur,2020.0,680.1,484.8,4.52
Punjab,Ludhiana,2016.0,1068.7,629.3,13.05
Telangana,Adilabad,2022.0,1100.5,765.2,-20.61
Punjab,Amritsar,2022.0,1035.3,677.5,-21.69
Andhra Pradesh,Prakasam,2017.0,1134.4,665.3,-10.31
Maharashtra,Pune,2016.0,948.5,606.9,-3.99
Punjab,Ludhiana,2019.0,969.1,565.5,15.51
Telangana,Nizamabad,2016.0,761.6,505.7,6.93
Maharashtra,Aurangabad,2016.0,1057.4,606.6,7.68
Tamil Nadu,Thanjavur,2020.0,574.3,399.4,10.46
Maharashtra,Aurangabad,2015.0,518.4,378.7,4.71
Punjab,Amritsar,2019.0,697.0,419.8,13.5
Karnataka,Raichur,2016.0,730.0,489.8,-13.86
Punjab,Ludhiana,2022.0,891.8,648.6,24.98
Karnataka,Raichur,2016.0,935.6,642.9,-3.3
Tamil Nadu,Madurai,2015.0,514.8,334.7,24.67
Karnataka,Mandya,2021.0,1078.8,706.1,19.63
Punjab,Amritsar,2016.0,800.2,542.3,18.55
Maharashtra,Nagpur,2016.0,833.8,536.4,-17.39
Tamil Nadu,Coimbatore,2017.0,1179.2,745.1,18.27
Andhra Pradesh,Prakasam,2015.0,739.6,483.5,23.93
Tamil Nadu,Thanjavur,2019.0,1199.3,662.4,6.15
Maharashtra,Pune,2020.0,991.2,580.2,24.92
Andhra Pradesh,Guntur,2015.0,638.1,397.6,12.32
Tamil Nadu,Coimbatore,2016.0,813.1,543.1,5.44
Telangana,Warangal,2019.0,927.5,627.7,-1.59
Punjab,Patiala,2016.0,927.0,619.2,17.14
Tamil Nadu,Thanjavur,2017.0,1196.8,676.3,3.63
Andhra Pradesh,Guntur,2017.0,1102.6,785.0,-13.38
Punjab,Patiala,2017.0,1188.3,758.9,12.6
Karnataka,Belgaum,2015.0,872.1,580.3,17.52
Telangana,Adilabad,2023.0,620.6,417.9,12.18
Karnataka,Belgaum,2019.0,639.0,387.0,1.91
Telangana,Warangal,2018.0,865.8,476.9,-18.96
Karnataka,Belgaum,2022.0,783.8,474.4,-20.02
Punjab,Ludhiana,2018.0,935.8,657.5,-6.87
Punjab,Ludhiana,2017.0,1134.0,670.1,-6.92
Tamil Nadu,Thanjavur,2022.0,669.5,430.2,19.86
Punjab,Ludhiana,2018.0,603.0,360.0,9.93
Andhra Pradesh,Prakasam,2018.0,898.3,637.4,-0.87
Tamil Nadu,Coimbatore,2020.0,1160.2,676.6,-24.68
Telangana,Warangal,2020.0,513.3,325.5,-12.05
Karnataka,Belgaum,2020.0,1004.3,561.3,19.66
Tamil Nadu,Thanjavur,2019.0,529.2,381.9,2.05
Tamil Nadu,Coimbatore,2017.0,755.7,468.1,-2.97
Telangana,Nizamabad,2018.0,1107.1,774.8,-23.84
Maharashtra,Nagpur,2020.0,1108.3,820.5,11.2
Maharashtra,Nagpur,2023.0,542.3,336.4,-18.35
Karnataka,Mandya,2021.0,600.5,354.6,10.34
Andhra Pradesh,Krishna,2022.0,761.3,421.8,-20.78
Telangana,Warangal,2022.0,1023.1,764.9,-14.25
Punjab,Ludhiana,2019.0,1156.0,738.4,21.24
Maharashtra,Aurangabad,2023.0,856.5,586.8,-14.42
Maharashtra,Nagpur,2018.0,1191.1,890.4,4.39
Maharashtra,Nagpur,2023.0,521.7,371.3,23.55
Punjab,Ludhiana,2023.0,629.0,463.6,2.54
Andhra Pradesh,Guntur,2017.0,958.3,675.9,24.22
Tamil Nadu,Coimbatore,2020.0,817.0,571.5,17.25
Karnataka,Belgaum,2021.0,688.9,418.6,-19.31
Karnataka,Belgaum,2021.0,608.3,355.1,-24.4
Karnataka,Mandya,2019.0,1040.1,744.9,8.83
Telangana,Nizamabad,2021.0,585.4,382.6,-2.62
Tamil Nadu,Madurai,2021.0,531.1,369.5,3.52
Karnataka,Mandya,2019.0,737.9,411.3,-5.78
Tamil Nadu,Thanjavur,2023.0,1004.3,676.2,-21.47
Telangana,Nizamabad,2023.0,1200.0,750.7,-9.69
Telangana,Adilabad,2023.0,761.3,494.1,14.94
Andhra Pradesh,Guntur,2021.0,955.6,646.7,-6.99
Tamil Nadu,Coimbatore,2021.0,1139.0,698.4,-23.27
Tamil Nadu,Coimbatore,2019.0,551.3,326.8,-16.59
Tamil Nadu,Madurai,2015.0,974.2,719.6,19.48
Tamil Nadu,Coimbatore,2015.0,867.7,493.2,19.79
Maharashtra,Nagpur,2019.0,917.1,536.4,22.94
Karnataka,Belgaum,2015.0,671.1,499.7,0.57
Tamil Nadu,Madurai,2020.0,1187.1,810.2,-10.69
Punjab,Ludhiana,2022.0,594.0,340.1,-15.08
Maharashtra,Aurangabad,2022.0,1195.5,861.6,-14.38
Tamil Nadu,Thanjavur,2016.0,1000.6,565.5,21.11
Andhra Pradesh,Krishna,2018.0,858.7,523.3,-12.97
Tamil Nadu,Coimbatore,2022.0,730.6,514.5,0.63
Punjab,Ludhiana,2016.0,888.7,587.6,23.04
Andhra Pradesh,Prakasam,2022.0,695.5,405.6,-20.43
Karnataka,Mandya,2016.0,586.1,435.4,-7.16
Karnataka,Belgaum,2019.0,771.4,457.8,-18.44
Telangana,Warangal,2017.0,550.5,360.9,-2.61
Andhra Pradesh,Krishna,2017.0,992.3,718.2,-0.3
Punjab,Patiala,2023.0,886.0,642.0,1.65
Tamil Nadu,Thanjavur,2015.0,790.2,438.5,-11.91
Maharashtra,Pune,2017.0,1105.8,645.2,-5.19
Tamil Nadu,Madurai,2016.0,506.8,313.6,-20.16
Andhra Pradesh,Guntur,2016.0,821.8,560.3,-15.96
Punjab,Ludhiana,2018.0,777.9,527.0,-17.19
Tamil Nadu,Madurai,2015.0,552.6,377.1,22.75
Telangana,Warangal,2023.0,1121.4,637.2,4.84
Andhra Pradesh,Guntur,2019.0,771.7,484.2,18.27
Telangana,Adilabad,2015.0,1155.0,749.7,19.72
Telangana,Warangal,2019.0,755.1,520.4,3.57
Tamil Nadu,Thanjavur,2021.0,1015.1,740.2,9.49
Punjab,Ludhiana,2018.0,1172.4,729.8,-19.4
