State,District,Crop_Year,Crop,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Fertilizer_Type,Fertilizer_Used_kg_per_ha
Tamil Nadu,Madurai,2022.0,Soybean,69.3,59.5,50.3,,
Tamil Nadu,Thanjavur,2018.0,Pulses,50.5,66.7,69.6,,
Punjab,Patiala,2022.0,Groundnut,70.7,61.3,34.7,,
Telangana,Nizamabad,2016.0,Wheat,83.9,64.8,26.6,,
Andhra Pradesh,Guntur,2022.0,Sugarcane,142.7,81.6,41.2,,
Tamil Nadu,Madurai,2020.0,Soybean,98.6,55.9,46.1,,
Punjab,Ludhiana,2019.0,Maize,112.1,50.3,49.2,,
Andhra Pradesh,Prakasam,2017.0,Wheat,41.5,32.3,63.4,,
Tamil Nadu,Coimbatore,2022.0,Maize,60.6,33.4,43.2,,
Telangana,Nizamabad,2021.0,Rice,131.3,43.4,47.8,,
Tamil Nadu,Madurai,2023.0,Soybean,172.3,77.3,88.6,,
Punjab,Ludhiana,2015.0,Maize,165.5,72.7,74.8,,
Punjab,Amritsar,2020.0,Wheat,82.7,24.6,77.4,,
Andhra Pradesh,Krishna,2022.0,Maize,134.3,29.2,49.6,,
Andhra Pradesh,Prakasam,2015.0,Rice,140.0,23.7,84.3,,
Telangana,Adilabad,2022.0,Cotton,138.8,58.5,24.7,,
Punjab,Ludhiana,2017.0,Soybean,131.5,76.7,72.6,,
Telangana,Nizamabad,2022.0,Sugarcane,99.7,60.4,61.8,,
Telangana,Warangal,2022.0,Soybean,177.6,57.1,77.3,,
Telangana,Warangal,2019.0,Cotton,82.8,46.3,58.5,,
Andhra Pradesh,Prakasam,2017.0,Sugarcane,73.9,22.8,66.6,,
Andhra Pradesh,Krishna,2017.0,Pulses,167.3,38.6,63.1,,
Andhra Pradesh,Prakasam,2015.0,Maize,58.1,70.9,74.5,,
Tamil Nadu,Coimbatore,2018.0,Pulses,178.2,52.1,68.2,,
Maharashtra,Pune,2019.0,Maize,133.3,83.1,22.1,,
Punjab,Amritsar,2019.0,Sugarcane,44.5,33.9,51.9,,
Andhra Pradesh,Prakasam,2018.0,Pulses,119.8,65.6,64.0,,
Maharashtra,Nagpur,2017.0,Maize,49.3,80.4,73.1,,
Telangana,Adilabad,2020.0,Wheat,49.5,46.9,72.6,,
Punjab,Amritsar,2017.0,Pulses,46.9,28.3,46.6,,
Telangana,Nizamabad,2020.0,Soybean,54.5,70.1,48.7,,
Karnataka,Mandya,2018.0,Pulses,77.9,37.6,71.8,,
Tamil Nadu,Madurai,2019.0,Soybean,106.6,64.6,25.1,,
Punjab,Patiala,2023.0,Pulses,174.0,52.6,75.7,,
Karnataka,Raichur,2015.0,Groundnut,178.4,34.2,27.0,,
Punjab,Patiala,2016.0,Maize,96.7,58.2,24.7,,
Karnataka,Mandya,2017.0,Cotton,134.9,59.4,28.6,,
Telangana,Nizamabad,2023.0,Cotton,148.2,73.8,25.8,,
Punjab,Amritsar,2022.0,Pulses,176.5,25.1,71.5,,
Punjab,Amritsar,2022.0,Cotton,110.5,65.8,28.8,,
Tamil Nadu,Coimbatore,2018.0,Soybean,113.6,22.4,30.1,,
Telangana,Warangal,2022.0,Soybean,41.6,85.6,76.0,,
Andhra Pradesh,Prakasam,2017.0,Rice,126.5,53.8,84.8,,
Telangana,Nizamabad,2019.0,Maize,148.9,44.5,65.3,,
Maharashtra,Aurangabad,2020.0,Maize,93.8,52.4,24.3,,
Telangana,Adilabad,2020.0,Cotton,66.5,29.4,25.7,,
Maharashtra,Nagpur,2017.0,Sugarcane,51.7,74.1,59.9,,
Karnataka,Mandya,2021.0,Wheat,56.7,37.4,54.2,,
Tamil Nadu,Madurai,2017.0,Rice,54.6,21.4,37.9,,
Andhra Pradesh,Krishna,2018.0,Rice,76.5,44.5,68.0,,
Maharashtra,Pune,2017.0,Cotton,141.3,29.0,78.7,,
Telangana,Adilabad,2015.0,Wheat,102.0,89.8,75.2,,
Andhra Pradesh,Prakasam,2015.0,Sugarcane,179.8,24.3,46.2,,
Tamil Nadu,Thanjavur,2022.0,Sugarcane,101.2,26.3,42.4,,
Karnataka,Raichur,2018.0,Pulses,83.6,28.4,36.1,,
Andhra Pradesh,Prakasam,2016.0,Cotton,84.5,60.9,71.6,,
Telangana,Warangal,2022.0,Wheat,92.1,44.1,69.4,,
Tamil Nadu,Coimbatore,2018.0,Soybean,79.7,82.8,20.5,,
Maharashtra,Nagpur,2019.0,Rice,115.0,49.6,69.5,,
Telangana,Warangal,2015.0,Maize,150.8,89.7,81.3,,
Karnataka,Belgaum,2018.0,Wheat,44.6,55.6,75.4,,
Telangana,Adilabad,2020.0,Rice,64.1,43.7,78.6,,
Tamil Nadu,Thanjavur,2017.0,Pulses,139.6,35.1,39.1,,
Punjab,Ludhiana,2019.0,Cotton,178.3,57.9,86.2,,
Maharashtra,Nagpur,2021.0,Pulses,146.6,67.7,63.8,,
Punjab,Amritsar,2019.0,Cotton,71.3,29.3,86.1,,
Punjab,Amritsar,2023.0,Maize,132.2,32.9,25.2,,
Tamil Nadu,Madurai,2017.0,Groundnut,56.0,77.1,56.5,,
Andhra Pradesh,Guntur,2016.0,Pulses,160.6,24.1,75.5,,
Telangana,Warangal,2020.0,Sugarcane,75.2,44.6,59.5,,
Andhra Pradesh,Krishna,2019.0,Soybean,57.2,42.8,27.4,,
Punjab,Amritsar,2020.0,Sugarcane,60.6,23.5,37.3,,
Andhra Pradesh,Prakasam,2019.0,Rice,57.3,64.0,73.2,,
Punjab,Patiala,2022.0,Groundnut,62.1,29.7,44.4,,
Karnataka,Belgaum,2023.0,Pulses,111.6,80.3,68.5,,
Andhra Pradesh,Prakasam,2015.0,Soybean,79.8,21.8,82.7,,
Maharashtra,Aurangabad,2019.0,Cotton,121.8,55.1,80.3,,
Tamil Nadu,Thanjavur,2023.0,Soybean,156.6,65.8,35.6,,
Maharashtra,Nagpur,2018.0,Pulses,84.1,81.3,80.2,,
Maharashtra,Aurangabad,2017.0,Pulses,168.3,60.6,78.6,,
Tamil Nadu,Madurai,2016.0,Rice,120.0,28.1,50.8,,
Maharashtra,Nagpur,2021.0,Cotton,141.0,84.0,63.5,,
Karnataka,Mandya,2015.0,Wheat,134.6,78.9,26.4,,
Tamil Nadu,Coimbatore,2015.0,Cotton,147.3,71.3,48.9,,
Tamil Nadu,Coimbatore,2016.0,Cotton,79.3,57.5,54.6,,
Punjab,Patiala,2017.0,Sugarcane,76.5,49.0,66.1,,
Karnataka,Mandya,2019.0,Sugarcane,161.7,70.3,62.2,,
Karnataka,Belgaum,2023.0,Rice,154.0,58.3,24.9,,
Andhra Pradesh,Prakasam,2015.0,Soybean,156.8,44.1,46.5,,
Maharashtra,Pune,2016.0,Groundnut,97.4,82.4,83.0,,
Punjab,Patiala,2019.0,Cotton,98.7,64.4,74.6,,
Andhra Pradesh,Guntur,2022.0,Pulses,41.2,53.4,24.1,,
Tamil Nadu,Thanjavur,2017.0,Cotton,77.3,41.1,49.2,,
Punjab,Patiala,2016.0,Maize,68.1,58.2,88.7,,
Tamil Nadu,Coimbatore,2017.0,Pulses,95.6,62.6,48.0,,
Tamil Nadu,Coimbatore,2016.0,Maize,151.6,27.9,86.5,,
Maharashtra,Nagpur,2016.0,Cotton,70.7,87.6,41.5,,
Telangana,Adilabad,2015.0,Rice,78.0,38.3,49.0,,
Karnataka,Mandya,2023.0,Rice,114.0,24.9,45.3,,
Maharashtra,Pune,2018.0,Maize,53.7,61.1,27.1,,
Telangana,Warangal,2016.0,Rice,94.1,86.1,37.9,,
Tamil Nadu,Madurai,2015.0,Cotton,151.4,20.0,64.8,,
Punjab,Amritsar,2016.0,Wheat,70.7,66.1,69.0,,
Tamil Nadu,Thanjavur,2019.0,Rice,97.4,49.2,54.2,,
Punjab,Patiala,2016.0,Pulses,79.0,78.2,42.5,,
Maharashtra,Aurangabad,2016.0,Soybean,123.8,42.7,50.8,,
Maharashtra,Aurangabad,2021.0,Maize,89.4,46.4,67.6,,
Telangana,Nizamabad,2015.0,Sugarcane,142.2,50.3,68.0,,
Maharashtra,Aurangabad,2016.0,Rice,71.9,30.5,22.0,,
Punjab,Ludhiana,2015.0,Groundnut,167.4,59.6,55.1,,
Tamil Nadu,Madurai,2022.0,Sugarcane,165.7,72.6,55.6,,
Andhra Pradesh,Prakasam,2018.0,Rice,60.4,64.6,85.4,,
Karnataka,Raichur,2022.0,Groundnut,81.3,47.1,25.9,,
Telangana,Nizamabad,2023.0,Cotton,68.5,85.6,49.9,,
Andhra Pradesh,Krishna,2022.0,Rice,42.8,53.2,86.1,,
Karnataka,Mandya,2016.0,Pulses,102.1,43.7,55.7,,
Telangana,Nizamabad,2016.0,Cotton,78.0,66.5,59.8,,
Telangana,Nizamabad,2015.0,Groundnut,121.2,78.7,75.7,,
Telangana,Warangal,2016.0,Wheat,108.8,47.9,84.9,,
Andhra Pradesh,Guntur,2015.0,Cotton,55.3,64.3,21.3,,
Maharashtra,Pune,2018.0,Soybean,137.2,22.2,66.8,,
Maharashtra,Pune,2018.0,Wheat,169.1,60.7,86.6,,
Andhra Pradesh,Guntur,2023.0,Groundnut,153.5,59.9,24.3,,
Karnataka,Belgaum,2015.0,Wheat,109.9,77.1,41.2,,
Tamil Nadu,Thanjavur,2021.0,Maize,121.8,26.5,86.5,,
Andhra Pradesh,Guntur,2020.0,Groundnut,152.3,44.2,66.4,,
Tamil Nadu,Thanjavur,2023.0,Pulses,117.9,25.0,55.2,,
Punjab,Patiala,2015.0,Wheat,75.4,55.5,61.4,,
Andhra Pradesh,Guntur,2020.0,Rice,71.6,43.3,43.3,,
Punjab,Patiala,2015.0,Rice,55.0,45.9,41.9,,
Karnataka,Mandya,2019.0,Rice,129.0,37.9,83.5,,
Tamil Nadu,Coimbatore,2022.0,Pulses,92.7,88.5,35.5,,
Maharashtra,Nagpur,2017.0,Pulses,164.6,42.3,74.2,,
Andhra Pradesh,Prakasam,2022.0,Pulses,94.8,87.6,87.8,,
Tamil Nadu,Thanjavur,2016.0,Soybean,67.2,26.0,27.3,,
Karnataka,Mandya,2018.0,Wheat,105.9,35.0,64.4,,
Maharashtra,Aurangabad,2019.0,Maize,128.0,89.4,89.3,,
Punjab,Amritsar,2016.0,Soybean,71.4,70.3,72.9,,
Telangana,Warangal,2022.0,Pulses,73.5,27.2,20.6,,
Tamil Nadu,Thanjavur,2018.0,Maize,114.9,81.4,35.6,,
Karnataka,Belgaum,2015.0,Cotton,118.5,82.8,49.7,,
Telangana,Adilabad,2016.0,Wheat,102.9,78.8,62.1,,
Karnataka,Raichur,2022.0,Soybean,172.7,84.6,52.3,,
Maharashtra,Aurangabad,2022.0,Sugarcane,83.2,31.9,20.5,,
Andhra Pradesh,Prakasam,2015.0,Wheat,40.5,24.0,84.6,,
Tamil Nadu,Coimbatore,2023.0,Soybean,40.7,26.1,27.6,,
Karnataka,Mandya,2017.0,Maize,107.1,65.3,65.7,,
Telangana,Adilabad,2023.0,Sugarcane,103.3,72.3,73.5,,
Tamil Nadu,Thanjavur,2015.0,Sugarcane,104.4,66.9,38.0,,
Punjab,Amritsar,2016.0,Maize,128.5,54.5,31.9,,
Andhra Pradesh,Krishna,2017.0,Rice,47.0,62.0,24.5,,
Punjab,Amritsar,2021.0,Rice,108.1,62.0,81.3,,
Punjab,Ludhiana,2020.0,Soybean,69.1,60.5,47.8,,
Andhra Pradesh,Krishna,2023.0,Sugarcane,157.8,50.8,69.3,,
Andhra Pradesh,Krishna,2015.0,Soybean,106.5,81.7,74.7,,
Karnataka,Belgaum,2023.0,Pulses,82.1,78.1,26.7,,
Maharashtra,Aurangabad,2019.0,Soybean,67.8,42.3,34.1,,
Punjab,Ludhiana,2021.0,Groundnut,49.4,87.7,62.5,,
Punjab,Patiala,2018.0,Cotton,40.7,67.5,61.2,,
Andhra Pradesh,Prakasam,2018.0,Pulses,163.5,53.5,63.6,,
Tamil Nadu,Madurai,2017.0,Pulses,168.8,70.9,83.2,,
Maharashtra,Aurangabad,2018.0,Sugarcane,82.7,69.1,34.7,,
Karnataka,Belgaum,2020.0,Sugarcane,62.6,79.4,36.9,,
Andhra Pradesh,Prakasam,2022.0,Groundnut,159.0,64.6,37.6,,
Tamil Nadu,Coimbatore,2019.0,Groundnut,150.0,50.2,41.5,,
Telangana,Nizamabad,2022.0,Rice,131.0,45.8,29.5,,
Tamil Nadu,Coimbatore,2015.0,Cotton,145.8,21.4,46.6,,
Maharashtra,Pune,2015.0,Maize,109.6,76.3,54.8,,
Maharashtra,Nagpur,2019.0,Wheat,62.7,26.2,62.4,,
Tamil Nadu,Madurai,2023.0,Rice,158.7,55.4,36.9,,
Karnataka,Raichur,2015.0,Groundnut,136.4,69.2,64.4,,
Maharashtra,Nagpur,2022.0,Rice,168.6,86.7,83.6,,
Tamil Nadu,Madurai,2022.0,Wheat,94.5,77.0,23.1,,
Andhra Pradesh,Guntur,2019.0,Soybean,127.8,78.3,67.3,,
Punjab,Ludhiana,2019.0,Maize,58.2,57.6,88.5,,
Telangana,Warangal,2019.0,Wheat,91.3,55.5,85.5,,
Andhra Pradesh,Krishna,2018.0,Wheat,134.6,39.1,53.8,,
Andhra Pradesh,Prakasam,2020.0,Rice,111.9,44.3,48.9,,
Punjab,Ludhiana,2022.0,Soybean,169.6,40.1,50.2,,
Tamil Nadu,Coimbatore,2022.0,Soybean,52.8,86.5,29.2,,
Telangana,Warangal,2017.0,Rice,151.8,69.3,73.7,,
Andhra Pradesh,Krishna,2017.0,Groundnut,90.4,52.0,25.0,,
Telangana,Nizamabad,2015.0,Pulses,168.1,22.0,33.0,,
Tamil Nadu,Coimbatore,2020.0,Maize,155.3,31.8,55.6,,
Andhra Pradesh,Krishna,2015.0,Wheat,120.8,20.3,81.6,,
Telangana,Nizamabad,2022.0,Wheat,164.2,51.2,79.2,,
Maharashtra,Pune,2019.0,Wheat,173.4,34.7,29.7,,
Telangana,Warangal,2022.0,Wheat,173.7,85.6,72.1,,
Punjab,Amritsar,2019.0,Sugarcane,111.6,22.9,78.8,,
Karnataka,Belgaum,2018.0,Groundnut,49.3,86.2,49.4,,
Andhra Pradesh,Guntur,2021.0,Cotton,120.4,33.4,46.2,,
Punjab,Patiala,2018.0,Groundnut,106.2,52.5,34.8,,
Karnataka,Raichur,2023.0,Soybean,106.1,87.9,50.6,,
Maharashtra,Nagpur,2020.0,Groundnut,49.7,28.2,63.1,,
Telangana,Adilabad,2016.0,Wheat,52.3,73.7,48.6,,
Telangana,Nizamabad,2017.0,Sugarcane,161.4,43.3,56.5,,
Maharashtra,Pune,2018.0,Pulses,152.8,65.1,62.9,,
Andhra Pradesh,Guntur,2018.0,Cotton,110.1,31.4,75.4,,
Maharashtra,Aurangabad,2023.0,Sugarcane,176.3,63.7,89.6,,
Andhra Pradesh,Prakasam,2017.0,Sugarcane,160.2,89.4,43.3,,
Andhra Pradesh,Prakasam,2016.0,Pulses,72.3,61.7,24.8,,
Tamil Nadu,Coimbatore,2019.0,Groundnut,158.6,31.9,71.6,,
Tamil Nadu,Madurai,2022.0,Pulses,177.1,62.9,80.4,,
Andhra Pradesh,Prakasam,2023.0,Maize,170.5,74.1,40.4,,
Karnataka,Raichur,2015.0,Groundnut,103.4,69.7,34.4,,
Maharashtra,Nagpur,2018.0,Rice,52.9,65.7,89.8,,
Maharashtra,Pune,2022.0,Maize,82.2,72.6,72.3,,
Maharashtra,Pune,2021.0,Soybean,44.8,26.9,50.4,,
Karnataka,Belgaum,2016.0,Sugarcane,151.2,55.9,41.9,,
Karnataka,Mandya,2018.0,Rice,64.5,43.5,65.5,,
Maharashtra,Pune,2015.0,Sugarcane,65.0,25.7,89.3,,
Andhra Pradesh,Krishna,2022.0,Sugarcane,150.1,38.8,43.5,,
Andhra Pradesh,Prakasam,2015.0,Groundnut,53.7,74.6,85.3,,
Tamil Nadu,Madurai,2015.0,Maize,83.9,89.1,39.3,,
Andhra Pradesh,Krishna,2022.0,Pulses,173.3,79.8,83.7,,
Tamil Nadu,Thanjavur,2020.0,Soybean,83.7,47.9,76.7,,
Punjab,Amritsar,2023.0,Maize,109.3,76.5,44.9,,
Tamil Nadu,Madurai,2022.0,Sugarcane,148.2,36.0,33.5,,
Karnataka,Belgaum,2020.0,Soybean,120.4,85.1,55.9,,
Punjab,Amritsar,2020.0,Soybean,91.4,75.4,26.8,,
Karnataka,Raichur,2017.0,Groundnut,154.6,77.8,77.7,,
Punjab,Ludhiana,2020.0,Maize,126.8,37.4,65.4,,
Maharashtra,Nagpur,2016.0,Soybean,64.6,30.1,84.6,,
Maharashtra,Nagpur,2023.0,Maize,163.7,30.1,79.2,,
Punjab,Ludhiana,2022.0,Groundnut,159.3,88.6,44.1,,
Tamil Nadu,Thanjavur,2018.0,Soybean,138.1,68.5,50.8,,
Karnataka,Mandya,2015.0,Rice,40.9,33.0,73.4,,
Karnataka,Belgaum,2016.0,Sugarcane,68.8,34.0,35.0,,
Punjab,Amritsar,2022.0,Soybean,89.6,82.6,71.9,,
Karnataka,Mandya,2018.0,Cotton,116.1,36.4,53.9,,
Andhra Pradesh,Prakasam,2019.0,Groundnut,41.7,69.2,77.7,,
Karnataka,Belgaum,2022.0,Soybean,164.9,72.3,67.5,,
Punjab,Amritsar,2022.0,Groundnut,121.2,25.7,77.1,,
Tamil Nadu,Coimbatore,2022.0,Groundnut,151.2,27.6,63.9,,
Karnataka,Belgaum,2016.0,Wheat,116.8,25.5,74.3,,
Tamil Nadu,Coimbatore,2016.0,Groundnut,124.3,45.2,44.0,,
Karnataka,Belgaum,2023.0,Wheat,165.9,29.4,40.2,,
Telangana,Warangal,2017.0,Maize,161.9,66.5,89.4,,
Karnataka,Mandya,2023.0,Pulses,103.2,44.1,48.2,,
Karnataka,Mandya,2021.0,Cotton,154.6,51.5,26.5,,
Punjab,Ludhiana,2023.0,Sugarcane,60.7,37.8,25.0,,
Andhra Pradesh,Guntur,2022.0,Cotton,85.5,21.0,22.5,,
Telangana,Warangal,2018.0,Pulses,159.9,24.0,85.3,,
Maharashtra,Aurangabad,2015.0,Wheat,145.0,34.8,28.1,,
Tamil Nadu,Coimbatore,2015.0,Sugarcane,92.2,76.0,76.0,,
Karnataka,Raichur,2021.0,Wheat,116.1,64.1,40.1,,
Andhra Pradesh,Prakasam,2020.0,Wheat,126.9,44.8,55.0,,
Maharashtra,Aurangabad,2019.0,Pulses,74.8,83.8,73.7,,
Maharashtra,Pune,2015.0,Pulses,153.0,66.9,24.9,,
Punjab,Ludhiana,2023.0,Cotton,58.2,32.0,52.8,,
Punjab,Amritsar,2022.0,Maize,47.2,36.1,41.6,,
Karnataka,Mandya,2023.0,Wheat,53.6,84.3,57.4,,
Telangana,Adilabad,2021.0,Pulses,175.3,32.2,78.4,,
Karnataka,Belgaum,2015.0,Wheat,132.1,61.4,77.4,,
Tamil Nadu,Coimbatore,2019.0,Pulses,172.4,20.6,41.2,,
Telangana,Warangal,2020.0,Cotton,153.6,77.2,66.7,,
Karnataka,Belgaum,2022.0,Groundnut,155.6,40.1,57.4,,
Karnataka,Raichur,2023.0,Cotton,43.0,25.3,46.1,,
Telangana,Warangal,2019.0,Pulses,40.6,29.4,35.5,,
Punjab,Patiala,2017.0,Maize,105.9,47.2,86.3,,
Telangana,Warangal,2016.0,Soybean,49.8,77.3,36.4,,
Telangana,Nizamabad,2018.0,Cotton,76.4,73.6,67.9,,
Tamil Nadu,Madurai,2019.0,Soybean,74.7,40.9,88.2,,
Telangana,Adilabad,2019.0,Cotton,80.6,44.0,69.4,,
Tamil Nadu,Madurai,2021.0,Wheat,126.4,70.6,20.0,,
Tamil Nadu,Coimbatore,2018.0,Rice,154.2,87.6,30.6,,
Andhra Pradesh,Guntur,2021.0,Sugarcane,151.9,20.5,46.7,,
Punjab,Amritsar,2015.0,Soybean,165.9,50.0,77.2,,
Telangana,Adilabad,2019.0,Cotton,174.3,47.2,37.6,,
Tamil Nadu,Madurai,2015.0,Maize,170.6,30.7,76.5,,
Maharashtra,Aurangabad,2017.0,Soybean,174.7,26.5,53.0,,
Karnataka,Raichur,2021.0,Maize,75.8,72.6,57.4,,
Maharashtra,Pune,2022.0,Soybean,69.5,33.7,33.8,,
Karnataka,Mandya,2018.0,Sugarcane,162.6,47.4,54.5,,
Tamil Nadu,Thanjavur,2016.0,Sugarcane,156.6,30.8,67.2,,
Punjab,Amritsar,2019.0,Rice,48.3,75.0,45.7,,
Andhra Pradesh,Krishna,2016.0,Sugarcane,93.0,78.1,50.9,,
Karnataka,Belgaum,2015.0,Pulses,116.7,60.1,75.4,,
Tamil Nadu,Coimbatore,2017.0,Maize,71.7,62.8,49.8,,
Telangana,Nizamabad,2018.0,Sugarcane,129.6,85.5,67.8,,
Andhra Pradesh,Guntur,2019.0,Groundnut,63.3,34.4,82.6,,
Punjab,Patiala,2015.0,Groundnut,89.2,22.8,40.5,,
Andhra Pradesh,Guntur,2021.0,Rice,78.5,48.2,33.6,,
Punjab,Amritsar,2017.0,Cotton,148.3,52.2,66.1,,
