State,District,Crop_Year,Soil_Type,pH_Level,Organic_Carbon_%,Fertility_Level
Karnataka,Mandya,2020,Red,6.17,0.46,Low
Punjab,Amritsar,2020,Red,5.69,0.41,High
Andhra Pradesh,Guntur,2018,Red,7.88,0.92,High
Tamil Nadu,Thanjavur,2020,Red,5.71,0.55,High
Telangana,Nizamabad,2016,Clay,5.52,0.5,High
Karnataka,Raichur,2016,Clay,6.92,0.95,High
Punjab,Amritsar,2018,Black,6.88,0.73,High
Punjab,Patiala,2022,Alluvial,6.8,0.39,Low
Karnataka,Raichur,2021,Black,6.47,1.03,Low
Maharashtra,Nagpur,2023,Red,6.08,0.56,Low
Tamil Nadu,Thanjavur,2022,Loamy,8.0,0.9,Low
Karnataka,Raichur,2019,Red,6.91,0.44,Medium
Punjab,Amritsar,2016,Alluvial,6.34,0.59,High
Maharashtra,Nagpur,2019,Black,5.72,0.46,Low
Andhra Pradesh,Krishna,2022,Black,6.57,1.05,Low
Andhra Pradesh,Prakasam,2023,Red,6.24,0.72,Low
Karnataka,Belgaum,2023,Loamy,7.0,1.05,High
Tamil Nadu,Coimbatore,2015,Black,6.8,0.75,Medium
Telangana,Warangal,2023,Black,7.57,0.86,High
Karnataka,Raichur,2021,Clay,7.51,1.04,Low
Punjab,Patiala,2023,Clay,5.65,0.81,Medium
Karnataka,Mandya,2022,Red,5.92,1.2,Medium
Tamil Nadu,Thanjavur,2015,Black,7.26,1.01,Low
Tamil Nadu,Madurai,2022,Red,7.51,0.36,High
Telangana,Warangal,2022,Black,6.39,0.42,Medium
Karnataka,Raichur,2017,Red,7.15,1.18,Low
Maharashtra,Pune,2015,Black,7.42,1.15,High
Telangana,Nizamabad,2022,Loamy,5.82,1.11,Medium
Karnataka,Mandya,2017,Alluvial,6.25,0.71,Medium
Karnataka,Belgaum,2017,Red,5.97,1.13,High
Maharashtra,Aurangabad,2015,Loamy,5.51,0.41,High
Karnataka,Belgaum,2019,Loamy,7.74,0.39,Medium
Andhra Pradesh,Prakasam,2021,Alluvial,7.54,0.74,High
Punjab,Ludhiana,2023,Red,6.26,1.06,Medium
Andhra Pradesh,Prakasam,2021,Red,5.6,0.78,Medium
Andhra Pradesh,Guntur,2023,Alluvial,7.65,0.98,High
Andhra Pradesh,Guntur,2022,Alluvial,6.5,0.4,Medium
Maharashtra,Nagpur,2016,Alluvial,7.94,0.72,Medium
Andhra Pradesh,Guntur,2015,Loamy,5.76,0.98,Low
Tamil Nadu,Coimbatore,2021,Black,7.77,1.15,Medium
Andhra Pradesh,Guntur,2021,Alluvial,5.99,1.04,Medium
Andhra Pradesh,Krishna,2022,Black,5.88,0.93,Medium
Tamil Nadu,Madurai,2019,Clay,5.66,0.62,Medium
Karnataka,Raichur,2017,Red,6.57,1.17,Low
Maharashtra,Aurangabad,2022,Red,7.88,0.88,High
Tamil Nadu,Madurai,2020,Alluvial,6.33,0.98,Medium
Telangana,Adilabad,2017,Red,7.16,0.85,Low
Maharashtra,Aurangabad,2015,Alluvial,6.34,1.1,High
Maharashtra,Pune,2017,Red,7.43,0.99,Medium
Telangana,Warangal,2019,Alluvial,7.96,1.06,Low
Andhra Pradesh,Krishna,2017,Red,7.44,0.45,Low
Tamil Nadu,Thanjavur,2015,Black,6.28,1.08,High
Maharashtra,Aurangabad,2019,Clay,7.89,0.76,High
Karnataka,Mandya,2021,Alluvial,5.72,0.83,Low
Karnataka,Raichur,2021,Loamy,6.74,0.79,Medium
Punjab,Ludhiana,2023,Black,5.78,0.84,Low
Maharashtra,Nagpur,2017,Loamy,5.87,0.43,Low
Maharashtra,Aurangabad,2021,Clay,6.27,1.11,Medium
Karnataka,Mandya,2015,Black,5.88,0.31,High
Telangana,Nizamabad,2018,Clay,5.55,0.86,Low
Punjab,Amritsar,2018,Black,6.38,0.58,Low
Tamil Nadu,Thanjavur,2019,Clay,7.25,0.39,Low
Andhra Pradesh,Guntur,2021,Red,6.98,1.09,Low
Telangana,Nizamabad,2021,Red,7.19,1.11,High
Telangana,Adilabad,2018,Alluvial,7.25,0.59,Medium
Telangana,Warangal,2021,Black,6.99,0.71,Low
Telangana,Nizamabad,2017,Black,5.63,1.11,High
Punjab,Amritsar,2020,Red,5.5,0.48,Low
Maharashtra,Aurangabad,2016,Clay,7.1,0.79,Medium
Tamil Nadu,Thanjavur,2023,Red,6.88,0.49,Medium
Maharashtra,Pune,2019,Loamy,7.22,0.48,High
Andhra Pradesh,Prakasam,2020,Clay,5.6,0.76,Medium
Punjab,Patiala,2018,Red,6.54,1.09,Medium
Maharashtra,Nagpur,2021,Black,6.16,0.8,Low
Telangana,Adilabad,2023,Red,6.09,0.32,Medium
Maharashtra,Nagpur,2021,Red,5.93,0.42,Low
Punjab,Ludhiana,2015,Black,7.01,0.62,Low
Punjab,Patiala,2015,Alluvial,7.39,1.2,High
Karnataka,Mandya,2023,Alluvial,5.87,0.53,Medium
Maharashtra,Aurangabad,2023,Alluvial,7.91,0.66,Low
Telangana,Warangal,2018,Loamy,7.36,0.68,Medium
Andhra Pradesh,Guntur,2023,Loamy,6.69,0.73,High
Tamil Nadu,Thanjavur,2017,Red,6.4,0.84,High
Punjab,Patiala,2021,Clay,6.02,0.31,Medium
Punjab,Amritsar,2020,Clay,6.17,0.35,Medium
Punjab,Patiala,2022,Clay,7.59,0.92,Low
Tamil Nadu,Coimbatore,2023,Loamy,6.76,1.19,Medium
Tamil Nadu,Madurai,2019,Clay,7.28,1.05,Low
Andhra Pradesh,Prakasam,2015,Black,5.87,1.09,High
Punjab,Ludhiana,2017,Clay,5.63,1.04,Low
Tamil Nadu,Coimbatore,2022,Red,5.86,0.63,Low
Telangana,Warangal,2020,Loamy,7.34,1.09,Low
Telangana,Nizamabad,2022,Loamy,6.39,0.49,High
Punjab,Patiala,2023,Alluvial,7.13,1.0,Low
Andhra Pradesh,Guntur,2018,Loamy,7.5,1.04,Medium
Tamil Nadu,Coimbatore,2015,Loamy,6.15,1.01,Low
Andhra Pradesh,Krishna,2015,Black,6.34,0.97,High
Tamil Nadu,Thanjavur,2018,Loamy,5.75,1.0,High
Andhra Pradesh,Krishna,2021,Red,6.65,0.65,Low
Telangana,Nizamabad,2016,Loamy,5.89,1.07,High
Punjab,Amritsar,2017,Alluvial,6.7,0.44,Medium
Maharashtra,Aurangabad,2015,Clay,7.24,0.63,Low
Punjab,Ludhiana,2019,Alluvial,6.16,1.02,Low
Karnataka,Raichur,2015,Loamy,6.25,0.35,Low
Karnataka,Raichur,2022,Red,7.05,0.35,Low
Andhra Pradesh,Prakasam,2015,Loamy,7.83,0.36,Low
Telangana,Nizamabad,2015,Loamy,6.04,1.2,Low
Tamil Nadu,Thanjavur,2016,Clay,6.0,0.49,Low
Tamil Nadu,Coimbatore,2016,Clay,7.61,0.9,High
Karnataka,Belgaum,2020,Clay,5.66,0.53,Medium
Tamil Nadu,Thanjavur,2021,Loamy,6.44,0.95,Medium
Telangana,Nizamabad,2019,Alluvial,7.19,0.82,Low
Tamil Nadu,Thanjavur,2015,Clay,7.25,1.1,Low
Karnataka,Mandya,2015,Alluvial,6.8,1.17,High
Punjab,Ludhiana,2017,Red,7.11,0.36,Medium
Karnataka,Mandya,2016,Red,7.75,0.77,Low
Maharashtra,Aurangabad,2019,Alluvial,6.64,0.96,Medium
Punjab,Amritsar,2020,Alluvial,6.71,0.96,Medium
Karnataka,Belgaum,2021,Clay,7.15,0.79,Medium
Maharashtra,Pune,2018,Clay,5.63,0.94,Low
Karnataka,Mandya,2021,Clay,7.48,0.78,High
Maharashtra,Aurangabad,2022,Clay,6.65,0.36,Low
Telangana,Nizamabad,2015,Black,5.66,1.18,Low
Karnataka,Belgaum,2020,Clay,7.61,0.65,High
Maharashtra,Nagpur,2022,Red,7.88,0.73,Medium
Karnataka,Raichur,2019,Black,7.7,0.82,Medium
Tamil Nadu,Coimbatore,2018,Clay,5.73,0.9,High
Punjab,Ludhiana,2016,Clay,7.17,0.96,Medium
Karnataka,Mandya,2020,Alluvial,6.37,0.56,Low
Andhra Pradesh,Krishna,2020,Black,7.71,0.56,High
Telangana,Warangal,2015,Loamy,7.37,0.61,High
Tamil Nadu,Madurai,2023,Clay,6.14,0.48,High
Karnataka,Belgaum,2020,Alluvial,5.85,0.79,Low
Maharashtra,Aurangabad,2017,Loamy,7.77,1.04,High
Telangana,Warangal,2018,Black,6.45,0.41,Low
Telangana,Nizamabad,2018,Clay,6.34,0.85,Medium
Telangana,Nizamabad,2017,Alluvial,7.59,0.63,Medium
Karnataka,Mandya,2017,Alluvial,6.97,0.98,Medium
Karnataka,Mandya,2017,Black,7.78,0.33,Low
Karnataka,Belgaum,2018,Black,7.28,0.32,Medium
Maharashtra,Nagpur,2021,Black,6.19,1.19,Medium
Punjab,Ludhiana,2018,Red,6.49,0.92,High
Karnataka,Mandya,2023,Loamy,5.89,0.91,High
Tamil Nadu,Madurai,2015,Clay,6.23,0.92,Medium
Karnataka,Mandya,2022,Alluvial,7.28,0.86,High
Tamil Nadu,Thanjavur,2021,Loamy,6.56,1.1,High
Telangana,Nizamabad,2016,Loamy,6.62,0.35,High
Maharashtra,Pune,2022,Loamy,7.98,0.33,Low
Karnataka,Mandya,2015,Clay,6.35,0.93,Medium
Andhra Pradesh,Guntur,2023,Red,6.98,1.16,Medium
Karnataka,Belgaum,2023,Black,6.18,0.73,Low
Maharashtra,Aurangabad,2016,Clay,6.73,0.73,High
Telangana,Adilabad,2021,Clay,7.42,0.41,High
Punjab,Ludhiana,2017,Alluvial,6.96,0.78,Medium
Karnataka,Mandya,2021,Red,6.73,0.72,Low
Punjab,Amritsar,2023,Loamy,7.69,0.86,Low
Punjab,Patiala,2018,Red,7.83,0.41,Low
Andhra Pradesh,Guntur,2015,Clay,5.57,0.46,Low
Punjab,Ludhiana,2016,Clay,6.15,1.2,Low
Maharashtra,Pune,2015,Clay,5.64,0.6,High
Maharashtra,Nagpur,2019,Alluvial,6.37,0.58,Low
Maharashtra,Nagpur,2019,Clay,5.85,0.68,High
Andhra Pradesh,Krishna,2021,Red,7.95,0.89,High
Maharashtra,Pune,2023,Alluvial,6.78,1.1,High
Tamil Nadu,Madurai,2023,Clay,5.52,0.81,Medium
Telangana,Warangal,2017,Clay,5.82,0.76,High
Karnataka,Raichur,2017,Clay,7.19,0.92,Medium
Telangana,Warangal,2017,Red,7.92,0.8,High
Andhra Pradesh,Krishna,2018,Alluvial,5.98,0.84,High
Telangana,Nizamabad,2022,Loamy,5.75,0.93,Low
Telangana,Warangal,2020,Clay,7.45,1.07,Low
Punjab,Ludhiana,2022,Alluvial,6.02,0.62,High
Punjab,Ludhiana,2015,Loamy,6.01,0.76,High
Telangana,Warangal,2022,Clay,7.03,0.85,High
Karnataka,Mandya,2018,Alluvial,6.43,0.59,High
Tamil Nadu,Madurai,2015,Alluvial,5.79,0.98,Low
Tamil Nadu,Madurai,2022,Alluvial,6.52,1.04,Low
Karnataka,Raichur,2018,Clay,6.88,1.09,High
Andhra Pradesh,Prakasam,2020,Alluvial,5.89,0.4,Medium
Andhra Pradesh,Krishna,2022,Black,6.88,0.57,Low
Andhra Pradesh,Guntur,2018,Red,7.54,0.56,High
Telangana,Warangal,2017,Red,7.03,0.68,High
Andhra Pradesh,Guntur,2023,Loamy,5.6,0.58,Low
Tamil Nadu,Coimbatore,2017,Black,7.33,0.7,Low
Tamil Nadu,Coimbatore,2023,Clay,6.79,0.78,Low
Andhra Pradesh,Guntur,2016,Loamy,6.74,0.46,Low
Tamil Nadu,Madurai,2016,Red,7.33,0.43,High
Maharashtra,Aurangabad,2016,Red,6.43,0.72,Medium
Karnataka,Belgaum,2020,Clay,7.57,0.79,Medium
Karnataka,Mandya,2017,Loamy,7.01,0.8,Low
Punjab,Ludhiana,2023,Loamy,7.04,0.64,High
Karnataka,Raichur,2018,Black,5.6,0.5,Low
Andhra Pradesh,Guntur,2015,Loamy,6.46,0.34,Low
Tamil Nadu,Coimbatore,2018,Red,5.65,0.8,Medium
Karnataka,Belgaum,2015,Alluvial,5.52,0.68,High
Tamil Nadu,Coimbatore,2019,Black,7.44,1.15,Low
Maharashtra,Pune,2018,Black,6.12,0.37,High
Andhra Pradesh,Prakasam,2022,Alluvial,7.06,1.13,High
Maharashtra,Pune,2022,Alluvial,6.12,0.4,Low
Maharashtra,Nagpur,2021,Alluvial,7.59,0.37,Low
Punjab,Patiala,2017,Alluvial,5.71,0.99,Low
Telangana,Adilabad,2015,Black,7.88,1.02,Medium
Karnataka,Belgaum,2015,Loamy,7.91,0.46,Low
Tamil Nadu,Coimbatore,2017,Clay,7.28,1.0,Medium
Andhra Pradesh,Prakasam,2020,Black,7.92,0.47,Medium
Tamil Nadu,Coimbatore,2021,Clay,7.14,0.56,Medium
Tamil Nadu,Thanjavur,2020,Black,6.81,1.04,High
Punjab,Amritsar,2020,Loamy,7.89,0.45,Low
Maharashtra,Nagpur,2020,Black,6.94,0.67,Low
Telangana,Nizamabad,2017,Red,7.5,0.43,High
Karnataka,Raichur,2020,Red,7.86,1.1,Low
Punjab,Amritsar,2022,Clay,7.86,1.15,High
Andhra Pradesh,Prakasam,2016,Clay,5.6,0.93,Low
Punjab,Amritsar,2019,Black,7.49,0.75,High
Tamil Nadu,Madurai,2015,Black,5.61,0.61,Low
Telangana,Adilabad,2015,Black,7.98,0.46,Low
Telangana,Adilabad,2019,Alluvial,6.5,0.56,Low
Karnataka,Belgaum,2017,Clay,6.34,1.03,High
Andhra Pradesh,Guntur,2018,Loamy,6.81,0.37,High
Andhra Pradesh,Krishna,2017,Alluvial,7.68,0.87,High
Andhra Pradesh,Guntur,2015,Black,7.67,0.98,Medium
Tamil Nadu,Coimbatore,2015,Loamy,7.42,0.51,Medium
Punjab,Patiala,2019,Red,6.77,1.11,Low
Karnataka,Belgaum,2020,Clay,7.8,0.31,Low
Telangana,Adilabad,2017,Alluvial,6.91,0.5,High
Karnataka,Belgaum,2023,Clay,7.45,0.49,High
Punjab,Ludhiana,2019,Alluvial,6.26,0.37,Medium
Andhra Pradesh,Prakasam,2022,Clay,6.44,1.08,Low
Punjab,Amritsar,2015,Alluvial,6.36,0.78,High
Telangana,Adilabad,2019,Alluvial,5.78,0.91,Medium
Karnataka,Belgaum,2017,Loamy,7.17,1.03,Low
Karnataka,Belgaum,2015,Clay,7.45,0.48,Low
Punjab,Ludhiana,2018,Alluvial,6.08,0.99,Medium
Tamil Nadu,Thanjavur,2019,Clay,6.26,0.91,High
Punjab,Amritsar,2021,Red,7.52,0.93,Medium
Telangana,Warangal,2015,Red,6.43,0.76,Medium
Telangana,Nizamabad,2017,Red,6.41,0.62,Medium
Telangana,Adilabad,2016,Alluvial,5.75,0.77,High
Andhra Pradesh,Krishna,2023,Red,5.53,1.05,High
Telangana,Warangal,2020,Clay,7.83,0.91,Medium
Maharashtra,Pune,2017,Black,6.99,0.44,High
Punjab,Patiala,2022,Black,6.38,1.02,High
Tamil Nadu,Madurai,2022,Red,6.64,0.69,Medium
Tamil Nadu,Madurai,2016,Red,7.53,1.04,High
Andhra Pradesh,Guntur,2020,Black,6.12,1.01,High
Karnataka,Raichur,2021,Loamy,7.85,0.84,Medium
Karnataka,Belgaum,2016,Clay,7.69,0.79,Medium
Andhra Pradesh,Prakasam,2016,Clay,5.84,0.76,High
Andhra Pradesh,Krishna,2015,Alluvial,6.55,0.35,High
Punjab,Ludhiana,2022,Red,5.79,1.12,Low
Karnataka,Mandya,2015,Alluvial,7.46,0.48,High
Andhra Pradesh,Guntur,2023,Black,5.85,1.15,Low
Tamil Nadu,Madurai,2020,Clay,6.52,0.57,Medium
Maharashtra,Pune,2021,Clay,6.51,0.48,Medium
Karnataka,Raichur,2021,Alluvial,7.67,0.92,High
Andhra Pradesh,Guntur,2017,Black,7.74,0.37,Low
Punjab,Ludhiana,2016,Loamy,5.58,0.59,High
Andhra Pradesh,Krishna,2023,Black,6.53,1.1,Medium
Karnataka,Raichur,2022,Red,6.14,0.98,High
Maharashtra,Aurangabad,2021,Red,6.26,0.88,High
Andhra Pradesh,Guntur,2023,Loamy,6.61,0.85,High
Andhra Pradesh,Krishna,2018,Black,7.08,0.33,Low
Maharashtra,Aurangabad,2018,Alluvial,7.66,0.38,High
Maharashtra,Nagpur,2015,Alluvial,6.14,0.91,Medium
Punjab,Amritsar,2022,Red,7.4,1.18,Medium
Telangana,Nizamabad,2017,Clay,6.9,0.44,High
Punjab,Ludhiana,2021,Alluvial,7.88,0.96,High
Karnataka,Raichur,2016,Loamy,6.93,0.93,High
Punjab,Patiala,2016,Loamy,7.89,0.5,High
Andhra Pradesh,Krishna,2021,Red,5.77,0.52,High
Tamil Nadu,Madurai,2020,Black,7.76,0.7,Medium
Andhra Pradesh,Guntur,2017,Loamy,7.15,0.81,Low
Andhra Pradesh,Krishna,2023,Black,7.03,0.32,Low
Punjab,Ludhiana,2020,Loamy,7.91,0.74,High
Punjab,Patiala,2020,Alluvial,7.44,1.03,High
Tamil Nadu,Madurai,2015,Clay,5.64,0.91,Low
Andhra Pradesh,Guntur,2018,Clay,6.09,0.62,High
Karnataka,Raichur,2020,Clay,5.76,0.49,Low
Karnataka,Mandya,2020,Black,5.72,0.32,High
Karnataka,Belgaum,2019,Red,6.97,1.09,Low
Tamil Nadu,Thanjavur,2015,Black,6.14,0.36,High
Andhra Pradesh,Krishna,2022,Alluvial,7.75,0.81,High
Tamil Nadu,Coimbatore,2019,Black,6.54,0.37,Medium
Maharashtra,Nagpur,2019,Loamy,7.95,1.08,Medium
Maharashtra,Nagpur,2021,Black,6.31,0.78,Low
Telangana,Adilabad,2018,Alluvial,6.68,0.52,Low
Maharashtra,Aurangabad,2020,Red,7.28,1.09,Medium
Tamil Nadu,Thanjavur,2018,Alluvial,7.46,0.96,High
Tamil Nadu,Coimbatore,2017,Alluvial,6.52,0.9,High
Maharashtra,Nagpur,2021,Alluvial,8.0,1.16,Medium
Punjab,Ludhiana,2022,Red,6.54,0.64,Medium
Tamil Nadu,Coimbatore,2018,Clay,7.15,0.3,High
Punjab,Ludhiana,2016,Alluvial,6.56,0.97,Medium
Tamil Nadu,Thanjavur,2017,Alluvial,7.78,0.49,Low
Karnataka,Belgaum,2015,Black,7.42,0.42,High
Tamil Nadu,Coimbatore,2022,Clay,7.47,0.81,Medium
Maharashtra,Aurangabad,2017,Loamy,7.04,0.81,Low
Andhra Pradesh,Krishna,2021,Clay,5.94,1.03,Low
Maharashtra,Nagpur,2019,Red,5.79,0.52,High
Karnataka,Raichur,2019,Loamy,6.18,0.34,High
Maharashtra,Nagpur,2021,Black,6.88,0.57,Low
Telangana,Warangal,2023,Alluvial,5.68,0.62,High
Maharashtra,Nagpur,2019,Alluvial,6.85,0.31,High
Karnataka,Belgaum,2015,Clay,6.26,1.13,High
Telangana,Adilabad,2015,Red,6.44,0.92,High
Tamil Nadu,Coimbatore,2016,Black,7.8,0.32,Low
Andhra Pradesh,Guntur,2020,Black,5.99,0.99,Low
Karnataka,Belgaum,2023,Red,5.63,0.64,Low
Telangana,Warangal,2022,Clay,6.15,1.12,Medium
Telangana,Nizamabad,2019,Loamy,6.88,0.42,Low
Tamil Nadu,Coimbatore,2015,Red,7.96,1.05,High
Maharashtra,Nagpur,2021,Red,7.79,0.59,Medium
Tamil Nadu,Coimbatore,2019,Alluvial,7.18,0.69,Medium
Karnataka,Belgaum,2020,Loamy,6.17,0.38,Medium
Telangana,Adilabad,2021,Loamy,7.1,1.04,Low
Punjab,Patiala,2017,Red,6.24,0.71,Low
Karnataka,Belgaum,2017,Loamy,6.99,1.05,Low
Punjab,Patiala,2019,Black,5.87,0.88,Medium
Karnataka,Mandya,2020,Loamy,5.63,1.16,Low
Karnataka,Mandya,2023,Alluvial,6.6,1.11,High
Karnataka,Mandya,2019,Alluvial,7.37,0.85,High
Telangana,Adilabad,2015,Clay,7.92,1.1,High
Telangana,Warangal,2018,Clay,6.33,0.95,Medium
Tamil Nadu,Thanjavur,2019,Red,6.3,0.37,High
Andhra Pradesh,Prakasam,2019,Alluvial,7.95,0.65,Low
Punjab,Patiala,2021,Alluvial,6.04,0.43,Low
Telangana,Adilabad,2018,Black,7.04,0.48,Medium
Tamil Nadu,Madurai,2015,Black,7.54,0.95,High
Tamil Nadu,Coimbatore,2019,Alluvial,6.33,1.18,High
Punjab,Patiala,2021,Clay,5.85,0.59,Medium
Karnataka,Belgaum,2020,Clay,5.69,0.47,High
Tamil Nadu,Coimbatore,2019,Alluvial,6.39,0.66,Medium
Andhra Pradesh,Prakasam,2018,Red,7.58,1.08,Medium
Andhra Pradesh,Prakasam,2016,Clay,7.5,0.84,Low
Karnataka,Belgaum,2018,Clay,5.51,0.99,Medium
Maharashtra,Nagpur,2017,Red,6.14,0.93,High
Andhra Pradesh,Prakasam,2015,Loamy,5.76,0.77,Low
Andhra Pradesh,Guntur,2022,Black,6.53,0.36,Low
Andhra Pradesh,Guntur,2019,Loamy,6.01,0.7,High
Andhra Pradesh,Guntur,2018,Loamy,6.27,0.7,High
Punjab,Patiala,2022,Clay,7.55,0.64,Medium
Telangana,Warangal,2021,Black,5.82,1.11,High
Tamil Nadu,Coimbatore,2016,Black,7.42,1.03,Low
Punjab,Ludhiana,2015,Alluvial,5.74,1.13,High
Punjab,Ludhiana,2018,Loamy,7.71,0.72,Low
Maharashtra,Nagpur,2022,Black,6.32,1.02,Low
Punjab,Ludhiana,2016,Alluvial,5.61,0.94,High
Telangana,Warangal,2017,Clay,5.57,0.59,Low
Andhra Pradesh,Guntur,2015,Black,6.31,0.34,Medium
Punjab,Amritsar,2015,Loamy,6.59,0.38,Low
Telangana,Adilabad,2017,Clay,6.3,0.88,High
Punjab,Amritsar,2019,Clay,7.24,0.73,High
Punjab,Amritsar,2017,Alluvial,5.86,0.4,High
Telangana,Adilabad,2015,Black,7.47,0.38,High
Karnataka,Belgaum,2015,Clay,7.61,1.03,Low
Telangana,Warangal,2022,Loamy,6.41,1.17,High
Maharashtra,Pune,2016,Alluvial,6.1,0.61,High
Telangana,Warangal,2017,Black,7.78,1.13,Medium
Tamil Nadu,Coimbatore,2016,Alluvial,7.15,0.71,High
Andhra Pradesh,Guntur,2017,Alluvial,7.53,0.78,High
Punjab,Patiala,2021,Red,7.23,0.71,High
Tamil Nadu,Coimbatore,2015,Clay,6.87,0.84,Low
Telangana,Nizamabad,2022,Alluvial,5.73,0.76,Medium
Tamil Nadu,Thanjavur,2016,Red,6.26,0.63,High
Punjab,Patiala,2017,Loamy,7.47,0.32,Medium
Andhra Pradesh,Prakasam,2023,Red,6.49,1.11,Low
Tamil Nadu,Thanjavur,2021,Alluvial,6.78,0.85,Low
Tamil Nadu,Thanjavur,2018,Red,6.75,0.46,Medium
Andhra Pradesh,Krishna,2019,Black,7.76,0.67,Low
Tamil Nadu,Madurai,2016,Black,7.66,0.45,Low
Punjab,Ludhiana,2022,Clay,6.48,1.08,Low
Telangana,Warangal,2018,Red,6.9,0.77,Medium
Telangana,Warangal,2023,Clay,6.16,0.77,Medium
Punjab,Amritsar,2019,Black,7.95,0.34,Low
Punjab,Amritsar,2023,Loamy,7.09,0.83,Low
Maharashtra,Nagpur,2018,Alluvial,7.5,1.11,High
Telangana,Nizamabad,2019,Alluvial,5.77,0.76,High
Karnataka,Mandya,2023,Clay,6.06,1.08,Low
Maharashtra,Pune,2022,Black,6.82,0.61,High
Maharashtra,Nagpur,2017,Clay,5.61,1.13,Low
Karnataka,Belgaum,2015,Red,7.69,0.41,Medium
Punjab,Amritsar,2017,Loamy,6.09,0.47,Medium
Andhra Pradesh,Guntur,2018,Loamy,7.98,1.01,Medium
Karnataka,Raichur,2016,Clay,7.69,0.93,High
Maharashtra,Aurangabad,2015,Red,7.91,0.96,Medium
Telangana,Warangal,2021,Red,6.55,0.63,Medium
Andhra Pradesh,Krishna,2022,Alluvial,7.72,0.92,Low
Tamil Nadu,Thanjavur,2021,Red,5.53,1.0,High
Karnataka,Mandya,2019,Loamy,7.28,1.08,Medium
Andhra Pradesh,Krishna,2015,Alluvial,7.09,0.55,High
Punjab,Patiala,2021,Red,7.12,1.02,Medium
Maharashtra,Pune,2021,Loamy,6.92,1.12,Low
Punjab,Amritsar,2023,Black,5.95,0.42,Low
Tamil Nadu,Thanjavur,2017,Loamy,7.58,1.05,Low
Andhra Pradesh,Guntur,2023,Loamy,6.03,0.41,Low
Punjab,Amritsar,2015,Clay,6.22,0.88,Low
Punjab,Amritsar,2015,Black,6.25,0.55,Low
Telangana,Adilabad,2018,Clay,7.61,0.75,Medium
