State,District,Crop_Year,Season,Crop,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Ha
Maharashtra,Pune,2023.0,Summer,Groundnut,81115.2,240102.15,2.96
Telangana,Adilabad,2023.0,Kharif,Cotton,12010.12,29314.47,2.44
Andhra Pradesh,Prakasam,2023.0,Summer,Pulses,23104.76,101252.84,4.38
Andhra Pradesh,Guntur,2016.0,Summer,Wheat,82649.44,182292.57,2.21
Andhra Pradesh,Prakasam,2015.0,Summer,Cotton,76228.87,210214.43,2.76
Tamil Nadu,Madurai,2018.0,Rabi,Soybean,82018.49,200334.39,2.44
Punjab,Amritsar,2019.0,Summer,Maize,57580.83,246852.18,4.29
Andhra Pradesh,Guntur,2016.0,Summer,Pulses,13424.98,28722.25,2.14
Punjab,Ludhiana,2018.0,Kharif,Soybean,47495.62,93720.28,1.97
Tamil Nadu,Madurai,2023.0,Summer,Sugarcane,5899.66,23311.4,3.95
Punjab,Patiala,2019.0,Kharif,Wheat,18274.3,33279.47,1.82
Tamil Nadu,Thanjavur,2018.0,Rabi,Sugarcane,87525.4,184747.91,2.11
Karnataka,Belgaum,2015.0,Rabi,Pulses,15614.32,43263.02,2.77
Punjab,Ludhiana,2017.0,Rabi,Rice,78268.04,178910.23,2.29
Karnataka,Belgaum,2015.0,Summer,Groundnut,17865.5,77449.67,4.34
Karnataka,Mandya,2023.0,Rabi,Rice,22030.79,41469.36,1.88
Punjab,Amritsar,2018.0,Rabi,Rice,83437.67,292098.61,3.5
Punjab,Patiala,2017.0,Summer,Groundnut,111462.84,246356.51,2.21
Telangana,Warangal,2017.0,Kharif,Groundnut,89704.91,223953.37,2.5
Maharashtra,Aurangabad,2017.0,Rabi,Cotton,95548.07,174307.09,1.82
Andhra Pradesh,Krishna,2022.0,Kharif,Cotton,45210.72,179107.2,3.96
Telangana,Warangal,2018.0,Summer,Rice,50823.59,118714.21,2.34
Andhra Pradesh,Krishna,2023.0,Summer,Soybean,50963.01,226451.54,4.44
Tamil Nadu,Coimbatore,2019.0,Kharif,Rice,25535.3,112038.76,4.39
Punjab,Ludhiana,2021.0,Summer,Wheat,44754.02,172718.5,3.86
Maharashtra,Aurangabad,2018.0,Rabi,Wheat,34293.09,124358.95,3.63
Andhra Pradesh,Prakasam,2021.0,Rabi,Cotton,13046.99,45569.39,3.49
Punjab,Patiala,2016.0,Summer,Soybean,87771.74,210737.03,2.4
Punjab,Patiala,2021.0,Rabi,Groundnut,85178.97,269441.31,3.16
Telangana,Adilabad,2017.0,Summer,Groundnut,75784.22,182098.08,2.4
Tamil Nadu,Thanjavur,2018.0,Rabi,Sugarcane,54437.14,176373.85,3.24
Karnataka,Belgaum,2022.0,Rabi,Pulses,82697.13,250863.56,3.03
Karnataka,Mandya,2023.0,Rabi,Wheat,81343.19,273132.73,3.36
Andhra Pradesh,Guntur,2018.0,Kharif,Sugarcane,21945.71,35961.14,1.64
Maharashtra,Aurangabad,2021.0,Rabi,Wheat,106905.74,344986.18,3.23
Karnataka,Raichur,2021.0,Rabi,Groundnut,33058.21,114651.63,3.47
Andhra Pradesh,Guntur,2017.0,Kharif,Groundnut,97472.63,349706.0,3.59
Maharashtra,Nagpur,2022.0,Kharif,Cotton,20334.0,58845.17,2.89
Tamil Nadu,Madurai,2023.0,Rabi,Soybean,54075.19,228227.81,4.22
Maharashtra,Nagpur,2019.0,Rabi,Pulses,91454.33,367608.79,4.02
Punjab,Patiala,2018.0,Summer,Pulses,36578.71,63370.79,1.73
Punjab,Ludhiana,2020.0,Rabi,Sugarcane,107698.09,187581.31,1.74
Telangana,Warangal,2017.0,Summer,Groundnut,86238.2,145974.24,1.69
Maharashtra,Pune,2015.0,Rabi,Pulses,28785.95,79461.62,2.76
Tamil Nadu,Madurai,2021.0,Summer,Rice,59852.67,259055.82,4.33
Punjab,Amritsar,2023.0,Summer,Groundnut,96984.84,406699.53,4.19
Maharashtra,Nagpur,2022.0,Rabi,Sugarcane,8337.85,20914.57,2.51
Karnataka,Belgaum,2017.0,Rabi,Maize,117783.03,365406.64,3.1
Maharashtra,Aurangabad,2021.0,Kharif,Rice,20605.44,59448.66,2.89
Andhra Pradesh,Krishna,2018.0,Rabi,Groundnut,57290.42,143942.27,2.51
Maharashtra,Pune,2016.0,Rabi,Groundnut,59085.29,221396.88,3.75
Andhra Pradesh,Krishna,2016.0,Summer,Cotton,94841.8,327703.45,3.46
Andhra Pradesh,Guntur,2017.0,Kharif,Cotton,32432.67,94725.55,2.92
Andhra Pradesh,Prakasam,2019.0,Rabi,Cotton,93193.28,186700.38,2.0
Tamil Nadu,Madurai,2019.0,Kharif,Wheat,17431.36,27489.87,1.58
Punjab,Patiala,2018.0,Rabi,Groundnut,13739.59,49075.66,3.57
Karnataka,Mandya,2019.0,Summer,Wheat,102783.72,339313.2,3.3
Andhra Pradesh,Prakasam,2023.0,Rabi,Rice,54263.47,141720.59,2.61
Tamil Nadu,Madurai,2021.0,Kharif,Soybean,99568.06,180876.99,1.82
Punjab,Patiala,2017.0,Summer,Pulses,55081.02,203876.11,3.7
Karnataka,Belgaum,2021.0,Rabi,Pulses,99959.48,327609.58,3.28
Punjab,Ludhiana,2022.0,Rabi,Wheat,33044.3,95634.35,2.89
Tamil Nadu,Madurai,2015.0,Rabi,Groundnut,61845.25,153069.62,2.48
Maharashtra,Nagpur,2020.0,Rabi,Soybean,37160.73,122201.76,3.29
Punjab,Patiala,2018.0,Summer,Rice,14845.49,54337.82,3.66
Maharashtra,Aurangabad,2022.0,Summer,Cotton,79278.83,235653.47,2.97
Andhra Pradesh,Guntur,2021.0,Kharif,Sugarcane,84555.52,204507.51,2.42
Tamil Nadu,Coimbatore,2023.0,Summer,Pulses,44532.1,199944.43,4.49
Tamil Nadu,Coimbatore,2022.0,Summer,Soybean,36155.39,81501.88,2.25
Andhra Pradesh,Prakasam,2016.0,Rabi,Cotton,90431.32,393614.32,4.35
Karnataka,Mandya,2022.0,Kharif,Cotton,36797.46,120282.09,3.27
Tamil Nadu,Madurai,2018.0,Kharif,Sugarcane,39068.34,100899.58,2.58
Punjab,Ludhiana,2015.0,Rabi,Maize,117043.92,369867.79,3.16
Karnataka,Mandya,2015.0,Kharif,Pulses,71017.39,206532.12,2.91
Maharashtra,Pune,2019.0,Kharif,Maize,113222.31,332102.27,2.93
Andhra Pradesh,Krishna,2015.0,Kharif,Pulses,22448.61,88299.95,3.93
Punjab,Ludhiana,2023.0,Kharif,Cotton,92911.0,308367.24,3.32
Tamil Nadu,Thanjavur,2022.0,Rabi,Groundnut,39195.61,127996.22,3.27
Maharashtra,Pune,2016.0,Summer,Rice,113972.87,242005.86,2.12
Telangana,Adilabad,2018.0,Kharif,Wheat,24988.56,43110.13,1.73
Andhra Pradesh,Krishna,2022.0,Summer,Pulses,38494.82,84474.14,2.19
Karnataka,Belgaum,2018.0,Kharif,Pulses,111249.77,429811.72,3.86
Karnataka,Raichur,2016.0,Rabi,Cotton,67624.67,232825.26,3.44
Punjab,Ludhiana,2017.0,Kharif,Wheat,96152.29,315872.98,3.29
Tamil Nadu,Coimbatore,2022.0,Kharif,Pulses,84197.97,303045.42,3.6
Punjab,Patiala,2016.0,Rabi,Pulses,73774.22,307510.77,4.17
Karnataka,Belgaum,2016.0,Kharif,Sugarcane,31326.31,110359.3,3.52
Tamil Nadu,Madurai,2019.0,Summer,Rice,71268.4,270059.27,3.79
Telangana,Adilabad,2017.0,Rabi,Pulses,119648.73,335932.35,2.81
Maharashtra,Nagpur,2021.0,Rabi,Pulses,43330.47,152107.3,3.51
Telangana,Adilabad,2022.0,Summer,Groundnut,38145.05,165380.94,4.34
Tamil Nadu,Thanjavur,2020.0,Kharif,Pulses,34025.87,62871.81,1.85
Maharashtra,Aurangabad,2023.0,Summer,Rice,58127.28,96643.13,1.66
Tamil Nadu,Coimbatore,2022.0,Summer,Pulses,92398.91,195024.04,2.11
Tamil Nadu,Thanjavur,2022.0,Rabi,Sugarcane,18964.0,83810.27,4.42
Tamil Nadu,Thanjavur,2023.0,Rabi,Maize,6572.56,17903.47,2.72
Telangana,Warangal,2017.0,Kharif,Pulses,62313.18,227431.27,3.65
Tamil Nadu,Madurai,2022.0,Rabi,Sugarcane,117728.13,262674.15,2.23
Tamil Nadu,Thanjavur,2023.0,Kharif,Groundnut,90823.64,173430.01,1.91
Andhra Pradesh,Krishna,2023.0,Rabi,Groundnut,35724.86,53862.22,1.51
Karnataka,Belgaum,2022.0,Kharif,Pulses,66936.77,169709.6,2.54
Tamil Nadu,Madurai,2020.0,Rabi,Groundnut,105004.19,466462.62,4.44
Telangana,Nizamabad,2021.0,Kharif,Groundnut,10019.44,37413.75,3.73
Karnataka,Belgaum,2017.0,Summer,Groundnut,61962.79,99825.7,1.61
Tamil Nadu,Madurai,2022.0,Kharif,Soybean,16466.85,69676.59,4.23
Andhra Pradesh,Prakasam,2017.0,Rabi,Maize,13605.25,52306.42,3.84
Punjab,Amritsar,2016.0,Summer,Groundnut,102953.01,417682.83,4.06
Tamil Nadu,Coimbatore,2022.0,Summer,Soybean,105324.05,169329.19,1.61
Andhra Pradesh,Guntur,2016.0,Kharif,Sugarcane,54906.72,98575.65,1.8
Karnataka,Raichur,2017.0,Rabi,Wheat,84810.13,357073.73,4.21
Andhra Pradesh,Krishna,2020.0,Rabi,Rice,48106.73,93168.76,1.94
Tamil Nadu,Coimbatore,2017.0,Kharif,Maize,14081.36,57909.86,4.11
Tamil Nadu,Madurai,2017.0,Rabi,Cotton,31701.67,108220.43,3.41
Maharashtra,Pune,2019.0,Rabi,Rice,82925.25,163688.38,1.97
Maharashtra,Pune,2021.0,Summer,Sugarcane,84386.05,242230.78,2.87
Punjab,Ludhiana,2016.0,Rabi,Groundnut,32278.66,103800.68,3.22
Tamil Nadu,Coimbatore,2021.0,Kharif,Sugarcane,36565.24,116927.85,3.2
Karnataka,Raichur,2022.0,Summer,Rice,100776.47,424148.49,4.21
Telangana,Nizamabad,2018.0,Kharif,Soybean,76402.48,269952.38,3.53
Karnataka,Raichur,2016.0,Summer,Maize,108891.43,374480.0,3.44
Punjab,Amritsar,2020.0,Summer,Rice,89221.37,157957.52,1.77
Punjab,Amritsar,2018.0,Kharif,Groundnut,20198.38,62983.06,3.12
Punjab,Patiala,2019.0,Kharif,Sugarcane,110115.63,477082.95,4.33
Punjab,Patiala,2022.0,Kharif,Soybean,115732.73,222469.68,1.92
Telangana,Nizamabad,2020.0,Summer,Groundnut,15384.83,41288.63,2.68
Punjab,Patiala,2020.0,Rabi,Wheat,82375.26,289715.63,3.52
Tamil Nadu,Coimbatore,2018.0,Kharif,Soybean,59219.84,198898.16,3.36
Tamil Nadu,Coimbatore,2016.0,Summer,Cotton,78071.45,225845.29,2.89
Karnataka,Belgaum,2017.0,Kharif,Groundnut,10214.88,16462.67,1.61
Maharashtra,Nagpur,2023.0,Kharif,Wheat,20601.37,58939.1,2.86
Karnataka,Raichur,2017.0,Summer,Groundnut,106822.59,370115.25,3.46
Maharashtra,Aurangabad,2015.0,Rabi,Groundnut,84382.28,181574.55,2.15
Maharashtra,Nagpur,2020.0,Kharif,Soybean,67613.57,299766.63,4.43
Punjab,Ludhiana,2018.0,Rabi,Groundnut,116343.79,505750.22,4.35
Maharashtra,Nagpur,2015.0,Summer,Cotton,10816.53,27047.03,2.5
Telangana,Nizamabad,2023.0,Kharif,Cotton,28823.1,61907.81,2.15
Telangana,Adilabad,2015.0,Summer,Maize,36886.61,164222.3,4.45
Telangana,Nizamabad,2016.0,Kharif,Sugarcane,81021.63,127798.69,1.58
Andhra Pradesh,Krishna,2020.0,Summer,Cotton,6814.82,15647.53,2.3
Telangana,Nizamabad,2016.0,Summer,Groundnut,90751.51,265787.39,2.93
Punjab,Patiala,2023.0,Rabi,Wheat,30478.22,101959.41,3.35
Karnataka,Raichur,2015.0,Rabi,Sugarcane,11994.92,35228.43,2.94
Maharashtra,Pune,2022.0,Rabi,Wheat,13451.43,23437.39,1.74
Tamil Nadu,Thanjavur,2019.0,Kharif,Wheat,76796.51,250056.66,3.26
Karnataka,Belgaum,2023.0,Summer,Groundnut,38913.24,117387.75,3.02
Maharashtra,Nagpur,2023.0,Summer,Wheat,87896.59,188544.27,2.15
Maharashtra,Nagpur,2022.0,Rabi,Groundnut,50853.97,187592.03,3.69
Punjab,Amritsar,2019.0,Summer,Soybean,48044.62,94067.37,1.96
Maharashtra,Nagpur,2016.0,Kharif,Wheat,54665.8,204109.36,3.73
Punjab,Ludhiana,2023.0,Summer,Rice,69593.59,244276.27,3.51
Maharashtra,Pune,2015.0,Summer,Groundnut,116365.84,384150.43,3.3
Punjab,Ludhiana,2022.0,Kharif,Cotton,30788.16,56177.77,1.82
Tamil Nadu,Coimbatore,2018.0,Rabi,Wheat,97830.46,394791.44,4.04
Tamil Nadu,Madurai,2019.0,Summer,Rice,8329.62,19323.15,2.32
Punjab,Amritsar,2017.0,Kharif,Soybean,105034.21,336000.58,3.2
Maharashtra,Nagpur,2015.0,Summer,Maize,15552.13,48078.6,3.09
Maharashtra,Pune,2017.0,Rabi,Pulses,47556.11,174283.06,3.66
Tamil Nadu,Madurai,2017.0,Kharif,Wheat,23102.14,77473.36,3.35
Karnataka,Mandya,2021.0,Rabi,Sugarcane,60851.1,171973.28,2.83
Punjab,Ludhiana,2021.0,Rabi,Wheat,17752.32,62748.3,3.53
Tamil Nadu,Coimbatore,2018.0,Kharif,Sugarcane,50455.29,166400.28,3.3
Andhra Pradesh,Guntur,2017.0,Kharif,Sugarcane,92878.5,219968.0,2.37
Andhra Pradesh,Guntur,2021.0,Summer,Pulses,25204.9,66556.62,2.64
Karnataka,Mandya,2021.0,Kharif,Soybean,104102.9,169365.71,1.63
Andhra Pradesh,Krishna,2021.0,Rabi,Wheat,70940.96,257409.05,3.63
Maharashtra,Pune,2015.0,Rabi,Wheat,116112.96,234039.55,2.02
Tamil Nadu,Coimbatore,2021.0,Kharif,Soybean,102115.7,227712.85,2.23
Tamil Nadu,Coimbatore,2019.0,Rabi,Wheat,90767.56,196486.01,2.16
Telangana,Warangal,2023.0,Summer,Wheat,27298.93,104519.0,3.83
Punjab,Patiala,2016.0,Kharif,Maize,21841.09,45687.53,2.09
Tamil Nadu,Thanjavur,2022.0,Kharif,Wheat,58354.6,186221.58,3.19
Tamil Nadu,Coimbatore,2020.0,Summer,Soybean,22360.1,38120.81,1.7
Maharashtra,Aurangabad,2015.0,Rabi,Sugarcane,45473.36,78331.14,1.72
Maharashtra,Pune,2020.0,Kharif,Rice,100645.11,174135.47,1.73
Andhra Pradesh,Prakasam,2023.0,Rabi,Groundnut,114736.62,426448.84,3.72
Andhra Pradesh,Krishna,2022.0,Rabi,Cotton,62657.24,274010.58,4.37
Maharashtra,Nagpur,2016.0,Summer,Soybean,63023.14,127160.32,2.02
Telangana,Nizamabad,2023.0,Rabi,Pulses,65116.02,128684.79,1.98
Punjab,Amritsar,2020.0,Rabi,Groundnut,83073.24,137660.38,1.66
Karnataka,Raichur,2020.0,Kharif,Soybean,15868.18,56096.21,3.54
Punjab,Amritsar,2016.0,Rabi,Maize,72015.04,138577.47,1.92
Punjab,Amritsar,2016.0,Kharif,Groundnut,40601.92,106784.59,2.63
Punjab,Ludhiana,2021.0,Summer,Wheat,63476.18,98685.88,1.55
Punjab,Ludhiana,2022.0,Rabi,Cotton,27080.6,121860.8,4.5
Telangana,Warangal,2023.0,Kharif,Sugarcane,93650.59,375104.28,4.01
Tamil Nadu,Thanjavur,2017.0,Summer,Soybean,73683.34,144622.59,1.96
Telangana,Nizamabad,2022.0,Summer,Maize,10024.63,25992.85,2.59
Karnataka,Mandya,2019.0,Summer,Pulses,91524.98,352499.41,3.85
Telangana,Nizamabad,2022.0,Rabi,Cotton,108957.05,226853.87,2.08
Karnataka,Raichur,2019.0,Rabi,Pulses,94484.26,284276.69,3.01
Maharashtra,Nagpur,2017.0,Summer,Cotton,105395.22,174591.34,1.66
Maharashtra,Pune,2023.0,Summer,Wheat,102884.1,242311.5,2.36
Telangana,Adilabad,2017.0,Summer,Pulses,100570.37,178526.56,1.78
Telangana,Adilabad,2021.0,Kharif,Soybean,11124.54,33440.6,3.01
Telangana,Adilabad,2018.0,Rabi,Wheat,8241.57,35376.76,4.29
Karnataka,Raichur,2017.0,Kharif,Soybean,9404.87,39991.28,4.25
Maharashtra,Aurangabad,2022.0,Summer,Maize,56589.17,85775.24,1.52
Andhra Pradesh,Guntur,2017.0,Kharif,Sugarcane,68112.49,250770.05,3.68
Tamil Nadu,Coimbatore,2018.0,Rabi,Wheat,39632.39,65125.86,1.64
Maharashtra,Aurangabad,2016.0,Kharif,Pulses,101219.09,303605.41,3.0
Tamil Nadu,Thanjavur,2017.0,Summer,Cotton,38496.28,57925.08,1.5
Punjab,Ludhiana,2016.0,Kharif,Groundnut,65200.72,168335.95,2.58
Tamil Nadu,Madurai,2022.0,Rabi,Rice,10006.46,26623.63,2.66
Punjab,Amritsar,2016.0,Rabi,Rice,44652.29,165160.92,3.7
Karnataka,Mandya,2015.0,Kharif,Soybean,45514.39,114497.9,2.52
Karnataka,Mandya,2022.0,Summer,Pulses,77649.62,305511.89,3.93
Andhra Pradesh,Prakasam,2019.0,Kharif,Pulses,28182.96,109161.84,3.87
Andhra Pradesh,Krishna,2021.0,Summer,Sugarcane,118749.11,371576.9,3.13
Punjab,Ludhiana,2020.0,Rabi,Cotton,104145.93,171154.68,1.64
Karnataka,Belgaum,2020.0,Kharif,Sugarcane,55249.41,149177.02,2.7
Maharashtra,Pune,2022.0,Kharif,Soybean,84587.88,220101.11,2.6
Tamil Nadu,Coimbatore,2021.0,Summer,Wheat,14076.61,46556.42,3.31
Telangana,Nizamabad,2016.0,Rabi,Sugarcane,14207.92,49482.74,3.48
Punjab,Amritsar,2022.0,Kharif,Groundnut,45427.9,73914.17,1.63
Punjab,Patiala,2015.0,Rabi,Groundnut,13629.73,46511.97,3.41
Punjab,Patiala,2017.0,Kharif,Maize,102596.97,362605.05,3.53
Maharashtra,Nagpur,2018.0,Kharif,Maize,94529.27,245680.19,2.6
Maharashtra,Aurangabad,2017.0,Summer,Rice,83092.14,361157.54,4.35
Punjab,Amritsar,2017.0,Summer,Wheat,65887.89,177508.71,2.69
Karnataka,Belgaum,2015.0,Kharif,Cotton,89602.61,268550.84,3.0
Maharashtra,Aurangabad,2019.0,Rabi,Wheat,85964.35,184282.75,2.14
Tamil Nadu,Coimbatore,2016.0,Kharif,Pulses,20608.77,35491.52,1.72
Telangana,Nizamabad,2020.0,Kharif,Pulses,81801.58,296826.97,3.63
Tamil Nadu,Madurai,2017.0,Rabi,Sugarcane,86858.05,371923.86,4.28
Karnataka,Mandya,2018.0,Summer,Soybean,18956.68,39864.78,2.1
Telangana,Warangal,2020.0,Kharif,Pulses,68712.47,179115.1,2.61
Tamil Nadu,Thanjavur,2019.0,Kharif,Wheat,50788.4,185418.33,3.65
Maharashtra,Aurangabad,2016.0,Rabi,Groundnut,19412.58,47581.85,2.45
Andhra Pradesh,Krishna,2023.0,Summer,Pulses,44619.2,184450.44,4.13
Tamil Nadu,Madurai,2021.0,Kharif,Maize,62829.34,257891.5,4.1
Andhra Pradesh,Prakasam,2017.0,Rabi,Maize,23626.2,101692.21,4.3
Telangana,Adilabad,2019.0,Kharif,Sugarcane,27574.72,120475.47,4.37
Punjab,Ludhiana,2023.0,Summer,Sugarcane,15744.27,53892.04,3.42
Tamil Nadu,Madurai,2020.0,Kharif,Maize,101890.95,325119.16,3.19
Andhra Pradesh,Guntur,2019.0,Summer,Rice,79879.95,303613.86,3.8
Maharashtra,Aurangabad,2023.0,Rabi,Rice,38312.24,167422.59,4.37
Maharashtra,Nagpur,2022.0,Rabi,Groundnut,13391.9,22494.9,1.68
Maharashtra,Pune,2018.0,Rabi,Pulses,44122.15,85200.14,1.93
Karnataka,Belgaum,2017.0,Rabi,Soybean,92476.47,281585.34,3.04
Andhra Pradesh,Krishna,2016.0,Rabi,Cotton,35759.24,80235.03,2.24
Andhra Pradesh,Guntur,2021.0,Rabi,Sugarcane,33551.08,137422.62,4.1
Telangana,Adilabad,2017.0,Kharif,Soybean,62300.54,189653.72,3.04
Maharashtra,Pune,2016.0,Kharif,Pulses,113701.77,342962.45,3.02
Telangana,Warangal,2015.0,Kharif,Soybean,37355.98,122996.67,3.29
Karnataka,Raichur,2023.0,Rabi,Pulses,5940.4,10826.33,1.82
Telangana,Adilabad,2020.0,Rabi,Soybean,10202.88,16870.19,1.65
Tamil Nadu,Thanjavur,2019.0,Summer,Soybean,13456.15,40540.24,3.01
Tamil Nadu,Coimbatore,2016.0,Kharif,Wheat,50298.93,195395.84,3.88
Punjab,Patiala,2018.0,Kharif,Soybean,74283.24,200873.86,2.7
Andhra Pradesh,Guntur,2020.0,Kharif,Rice,97456.07,298020.48,3.06
Telangana,Nizamabad,2020.0,Rabi,Maize,23687.74,105927.95,4.47
Karnataka,Belgaum,2023.0,Summer,Soybean,66219.08,240124.91,3.63
Punjab,Amritsar,2020.0,Rabi,Rice,82487.74,366220.33,4.44
Tamil Nadu,Coimbatore,2022.0,Summer,Rice,35536.0,123195.24,3.47
Tamil Nadu,Madurai,2015.0,Summer,Cotton,72105.18,145042.18,2.01
Karnataka,Raichur,2018.0,Kharif,Groundnut,8630.61,37496.68,4.34
Andhra Pradesh,Guntur,2020.0,Rabi,Rice,53159.73,145598.14,2.74
Telangana,Adilabad,2015.0,Summer,Pulses,86164.15,263321.92,3.06
Tamil Nadu,Coimbatore,2021.0,Summer,Pulses,41081.55,82966.13,2.02
Tamil Nadu,Coimbatore,2019.0,Summer,Soybean,75158.81,156089.25,2.08
Telangana,Adilabad,2019.0,Kharif,Sugarcane,93685.04,338643.58,3.61
Karnataka,Raichur,2022.0,Rabi,Pulses,45112.37,194032.87,4.3
Karnataka,Belgaum,2023.0,Kharif,Sugarcane,48664.83,216095.28,4.44
Punjab,Ludhiana,2019.0,Kharif,Sugarcane,114861.08,199523.84,1.74
Maharashtra,Aurangabad,2022.0,Summer,Sugarcane,29608.48,117955.89,3.98
Punjab,Patiala,2016.0,Kharif,Sugarcane,75802.86,247154.58,3.26
Telangana,Warangal,2018.0,Summer,Cotton,11036.48,30238.9,2.74
Karnataka,Belgaum,2017.0,Summer,Wheat,5595.87,17632.91,3.15
Telangana,Adilabad,2018.0,Rabi,Pulses,91929.77,217113.77,2.36
Punjab,Patiala,2018.0,Kharif,Rice,66542.51,244167.96,3.67
Andhra Pradesh,Guntur,2015.0,Kharif,Groundnut,119674.76,322042.83,2.69
Maharashtra,Nagpur,2015.0,Kharif,Sugarcane,39315.1,130068.07,3.31
Punjab,Amritsar,2023.0,Summer,Pulses,65296.63,272141.98,4.17
Telangana,Nizamabad,2018.0,Rabi,Pulses,98013.6,244255.02,2.49
Karnataka,Belgaum,2017.0,Summer,Sugarcane,6619.68,16624.24,2.51
Punjab,Patiala,2021.0,Kharif,Cotton,100103.83,304900.45,3.05
Andhra Pradesh,Krishna,2017.0,Kharif,Wheat,59907.22,258048.92,4.31
Andhra Pradesh,Krishna,2022.0,Kharif,Groundnut,91682.01,399926.51,4.36
Punjab,Patiala,2020.0,Rabi,Rice,84668.39,142782.49,1.69
Andhra Pradesh,Krishna,2021.0,Kharif,Sugarcane,83898.47,358189.25,4.27
Karnataka,Belgaum,2019.0,Summer,Wheat,47267.55,102218.33,2.16
Telangana,Adilabad,2020.0,Rabi,Maize,52822.25,166268.78,3.15
Maharashtra,Aurangabad,2016.0,Kharif,Cotton,65433.27,201830.19,3.08
Punjab,Ludhiana,2023.0,Kharif,Wheat,108832.14,229251.67,2.11
Tamil Nadu,Thanjavur,2023.0,Rabi,Maize,55811.66,197622.71,3.54
Karnataka,Raichur,2023.0,Kharif,Pulses,56230.51,93731.05,1.67
Telangana,Nizamabad,2015.0,Rabi,Groundnut,69261.68,243683.59,3.52
Punjab,Patiala,2019.0,Rabi,Rice,98892.12,369600.74,3.74
Tamil Nadu,Thanjavur,2020.0,Rabi,Rice,85544.26,267196.68,3.12
Andhra Pradesh,Guntur,2019.0,Kharif,Pulses,52019.7,198034.64,3.81
Karnataka,Raichur,2021.0,Rabi,Groundnut,56581.77,240548.64,4.25
Maharashtra,Pune,2023.0,Summer,Wheat,20293.83,82816.27,4.08
Andhra Pradesh,Guntur,2017.0,Summer,Groundnut,88703.69,192315.87,2.17
Andhra Pradesh,Guntur,2023.0,Rabi,Sugarcane,53774.72,141848.54,2.64
Telangana,Warangal,2017.0,Rabi,Pulses,36699.72,158257.67,4.31
